Address,Building Name,Neighborhood,City,Price (Last Known),PPSF,R,Bd,Total Ba,MLS Ba,Full Ba,HBa,Sq Ft,Monthly Fees,Monthly Fees & Taxes,Taxes Per Mo.,MLS Property Type,MLS Property Subtype,Compass Property Type,Status,DOM,Updated Date,Listed Date,Listed Price,Last Asking,Contract Date,Sold Price,Closed Price Verification,Sold Date,Open House,Open House Type,ZIP,Building Size,Lot Size,Outdoor Space,Year Built,Service Level,Building Units,Notes
1369 Leland Ave,1369 Leland Ave,Stratton Park,Bronx,"$800,000 ",$679 ,,4,,2,2,,"1,179",,$362 ,$362 ,House/Building,Single Family,Single Family/Townhouse,Sold,,,,,,,"$800,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020022000966001"" target=""_blank"">Public Record Only</a>",2/12/20,,,10460,20' x 40',"7,167 SF / 71.67' x 100'",,1920,,1,
746 E 224th St,746 E 224th St,Wakefield,Bronx,"$245,800 ",$211 ,,,,,,,"1,164",,,,House/Building,Single Family,Single Family/Townhouse,Sold,,,,,,,"$245,800 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020011500878001"" target=""_blank"">Public Record Only</a>",1/3/20,,,10466,18' x 28',"2,856 SF / 25' x 114.25'",,1925,,1,
1165 Hoe Ave,n/a,Crotona Park East,Bronx,"$630,000 ",,,,,,,,,,,,Land,,Land,Sold,,,,,,,"$630,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020032400980001"" target=""_blank"">Public Record Only</a>",3/5/20,,,10459,,0.06 AC,,,,0,
1822 Waterloo Pl,1822 Waterloo Pl,Crotona Park East,Bronx,"$625,000 ",,8,5,,3,,,,,,,House/Building,All Multi Family/Two Family,Townhouse/Multi Family,Sold,62,2/11/20,11/15/19,"$599,000 ","$599,000 ",1/16/20,"$625,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020020600858001"" target=""_blank"">Verified by Public Record</a>",1/31/20,,,10460,18' x 26',"1,625 SF / 25' x 65'",,1910,,2,
620 Thwaites Pl,620 Thwaites Pl,Bronxwood,Bronx,"$4,000,000 ",$126 ,,,,,,,"31,788",,,,House/Building,Undefined Multi Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$4,000,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020040200544001"" target=""_blank"">Public Record Only</a>",3/27/20,,,10467,91' x 66',"6,886 SF / 99.33' x 69.33'",,1931,,31,
2715 Cruger Ave,2715 Cruger Ave,Olinville,Bronx,"$1,093,252 ",$505 ,,,,,,,"2,165",,,,House/Building,Two Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$1,093,252 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020030600349001"" target=""_blank"">Public Record Only</a>",2/25/20,,,10467,21' x 56',"3,125 SF / 31.25' x 100'",,1925,,2,
3602 Holland Ave,3602 Holland Ave,Williamsbridge,Bronx,"$810,000 ",$213 ,,,,,,,"3,800",,,,House/Building,4+ Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$810,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020022000570001"" target=""_blank"">Public Record Only</a>",2/7/20,,,10467,20' x 95',"1,900 SF / 20' x 95'",,1910,,4,
40 E 235th St,40 E 235th St,Woodlawn Heights,Bronx,"$250,000 ",$167 ,,,,,,,"1,497",,,,House/Building,Single Family,Single Family/Townhouse,Sold,,,,,,,"$250,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020012700371001"" target=""_blank"">Public Record Only</a>",1/15/20,,,10470,37' x 26',"4,850 SF / 50' x 97'",,1920,,1,
1009 E 228th St,1009 E 228th St,Wakefield,Bronx,"$760,000 ",$355 ,,7,,3.5,3,,"2,140",,$440 ,$440 ,House/Building,Two Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$760,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020030600957001"" target=""_blank"">Public Record Only</a>",2/28/20,,,10466,20.25' x 37',"2,735 SF / 25' x 109.42'",,1961,,2,
"3333 Henry Hudson Pkwy, Unit 15G",The Whitehall,Riverdale,Bronx,"$335,000 ",$379 ,3,1,1,1,1,,885,"$1,272 ","$1,272 ",,Co-Operative,Attached,Co-op,Sold,94,3/3/20,8/5/19,"$350,000 ","$350,000 ",11/7/19,"$335,000 ",Unverified,3/3/20,,,10463,,,"Balcony
Common Outdoor Space
Private Outdoor Space",1970,"Full-Time Doorman, Concierge",439,
2220 Pearsall Ave,2220 Pearsall Ave,Pelham Gardens,Bronx,"$565,000 ",$277 ,9,4,3,2.5,2,1,"2,037",,$555 ,$555 ,House/Building/Single Family,Detached/Single Family,Townhouse/Single Family,Sold,22,1/24/20,8/1/19,"$629,000 ","$629,000 ",8/27/19,"$565,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020021100365001"" target=""_blank"">Verified by Public Record</a>",1/24/20,,,10469,22' x 51',"3,117 SF / 31.17' x 100'","Porch
Private Outdoor Space",1950,,1,
4675 Dodgewood Rd,4675 Dodgewood Rd,Riverdale,Bronx,"$2,200,000 ",$440 ,,,,,,,"5,000",,,,House/Building,Single Family,Single Family/Townhouse,Sold,,,,,,,"$2,200,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020021801215001"" target=""_blank"">Public Record Only</a>",2/6/20,,,10471,77' x 69.5',"14,835 SF / 115' x 129'",,1955,,1,
3214 Bainbridge Ave,3214 Bainbridge Ave,Norwood,Bronx,"$660,000 ",$117 ,,,,,,,"5,625",,,,House/Building,4+ Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$660,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020030700025001"" target=""_blank"">Public Record Only</a>",3/2/20,,,10467,25' x 75',"2,448 SF / 25' x 97.92'",,1920,,6,
1320 E 223rd St,1320 E 223rd St,Edenwald,Bronx,"$405,000 ",$422 ,5,2,1,1,1,,960,,$272 ,$272 ,House/Building/Single Family,Attached/All Multi Family/Two Family,Townhouse/Multi Family/Single Family,Sold,223,4/24/20,1/29/19,"$475,000 ","$410,000 ",9/16/19,"$405,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020012900237001"" target=""_blank"">Verified by Public Record</a>",1/17/20,,,10469,16' x 30',"1,600 SF / 16' x 100'",,1950,,2,
2444 Bouck Ave,2444 Bouck Ave,Pelham Gardens,Bronx,"$675,000 ",$354 ,,3,2,2,2,,"1,906",,$464 ,$465 ,House/Building/Multi Family/Multi-Family 2-4,All Multi Family/Two Family/Detached,Townhouse/Multi Family,Sold,108,1/14/20,7/1/19,"$685,000 ","$685,000 ",10/17/19,"$675,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020011600731001"" target=""_blank"">Verified by Public Record</a>",1/14/20,,,10469,22' x 46',"3,142 SF / 31.42' x 100'","Balcony
Back Yard",1950,,2,
226 W 242nd St,226 W 242nd St,Kingsbridge,Bronx,"$9,690,000 ",$158 ,,,,,,,"61,500",,,,House/Building,Undefined Multi Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$9,690,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020022100590001"" target=""_blank"">Public Record Only</a>",2/13/20,,,10471,132' x 88',"16,552 SF / 132.42' x 125'",,1924,,61,
3546 Bronx Blvd,3546 Bronx Blvd,Williamsbridge,Bronx,"$680,000 ",$149 ,,,,,,,"4,560",,,,House/Building,Undefined Multi Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$680,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020012701279001"" target=""_blank"">Public Record Only</a>",1/22/20,,,10467,20' x 76',"2,500 SF / 25' x 100'",,1928,,7,
