Address,Building Name,Neighborhood,City,Price (Last Known),PPSF,R,Bd,Total Ba,MLS Ba,Full Ba,HBa,Sq Ft,Monthly Fees,Monthly Fees & Taxes,Taxes Per Mo.,MLS Property Type,MLS Property Subtype,Compass Property Type,Status,DOM,Updated Date,Listed Date,Listed Price,Last Asking,Contract Date,Sold Price,Closed Price Verification,Sold Date,Open House,Open House Type,ZIP,Building Size,Lot Size,Outdoor Space,Year Built,Service Level,Building Units,Notes
3121 Corlear Ave,3121 Corlear Ave,Kingsbridge,Bronx,"$859,998 ",$344 ,,3,,3,,,"2,500",,$681 ,$681 ,,,Multi Family/Townhouse,Sold,57,8/22/20,6/26/20,"$859,999 ","$859,998 ",,"$859,998 ",Unverified,8/22/20,,,10463,17' x 31',"1,742 SF / 17.42' x 100'",,1920,,2,
"847 Fox St, Unit 5",847 Fox St,Longwood,Bronx,"$42,670 ",,,,,,,,,,,,Co-op,,Co-op,Sold,,,,,,,"$42,670 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021010700072001"" target=""_blank"">Public Record Only</a>",8/24/20,,,10459,,,,1907,,8,
"1936 E Tremont Ave, Unit 2A",1936 E Tremont Ave,Parkchester,Bronx,"$150,000 ",$228 ,3,1,1,1,1,,657,$710 ,$768 ,$59 ,Condominium/Condo,,Condo,Sold,9,5/10/20,5/1/20,"$199,999 ","$199,999 ",5/10/20,"$150,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020082400909002"" target=""_blank"">Verified by Public Record</a>",8/24/20,,,10462,,,,,,,
439 Effingham Ave,439 Effingham Ave,Castle Hill,Bronx,"$450,000 ",$321 ,5,3,3,3,3,,"1,400",,$241 ,$241 ,House/Building/Single Family,Single Family,Townhouse/Single Family,Sold,14,8/25/20,5/20/20,"$450,000 ","$450,000 ",6/3/20,"$450,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020083100848001"" target=""_blank"">Verified by Public Record</a>",8/24/20,,,10473,16' x 24',"2,706 SF / 25' x 108.25'","Deck
Private Outdoor Space",1930,,1,
"2727 Palisade Ave, Unit 4H",2727 Palisade Ave,Spuyten Duyvil,Bronx,"$865,000 ",$481 ,7,4,2,2,2,,"1,800","$2,000 ","$2,000 ",,Co-op/Residential/Co-Operative,Co-Op/Attached,Co-op/Co-Op/Single Family,Sold,84,8/24/20,3/9/20,"$865,000 ","$865,000 ",6/1/20,"$865,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090400521001"" target=""_blank"">Verified by Public Record</a>",8/24/20,,,10463,74.67' x 228',,Common Outdoor Space,1955,Full-Time Doorman,125,
4704 Delafield Ave,4704 Delafield Ave,Fieldston,Bronx,"$1,750,000 ",$704 ,10,4,,3.5,,,"2,486",,,,House/Building,Single Family,Townhouse/Single Family,Sold,428,8/25/20,2/15/19,"$1,995,000 ","$1,895,000 ",7/21/20,"$1,750,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020082600409001"" target=""_blank"">Verified by Public Record</a>",8/24/20,,,10471,23' x 41.08',"8,724 SF / 145' x 60.17'","Private Terrace
Patio
Porch
Common Roof Deck
Common Outdoor Space",1920,,1,
4426 Edson Ave,4426 Edson Ave,Wakefield,Bronx,"$577,000 ",$267 ,15,6,,3,3,,"2,160",,,,House/Building/Multi Family/Multi-Family 2-4,All Multi Family/Two Family/Undefined Multi Family/Detached,Townhouse/Multi Family,Sold,7,9/7/20,3/13/20,"$599,000 ","$599,000 ",6/14/20,"$577,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020082700489001"" target=""_blank"">Verified by Public Record</a>",8/24/20,,,10466,18' x 60',"2,185 SF / 25' x 87.42'","Fence
Common Outdoor Space",1930,,2,
793 Jennings St,793 Jennings St,Crotona Park East,Bronx,"$669,697 ",$172 ,,Studio,,,,,"3,900",,$534 ,$535 ,House/Building,Three Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$669,697 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020082600549003"" target=""_blank"">Public Record Only</a>",8/24/20,,,10459,19' x 51',"1,900 SF / 19' x 100'",,2006,,3,
518 E 235th St,518 E 235th St,Woodlawn Heights,Bronx,"$530,000 ",$366 ,6,3,2,2,2,,"1,450",,$229 ,$229 ,House/Building/Single Family,Single Family,Townhouse/Single Family,Sold,18,8/26/20,6/11/20,"$525,000 ","$525,000 ",6/29/20,"$530,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020082700230001"" target=""_blank"">Verified by Public Record</a>",8/24/20,,,10470,18' x 25',"2,500 SF / 25' x 100'","Porch
Private Outdoor Space",1910,,1,
1123 E 211th St,1123 E 211th St,Williamsbridge,Bronx,"$820,000 ",$394 ,,5,2,2,2,,"2,080",,$503 ,$503 ,House/Building/Multi Family,All Multi Family/Two Family,Townhouse/Multi Family,Sold,42,8/25/20,1/22/20,"$750,000 ","$825,000 ",4/21/20,"$820,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020083101043001"" target=""_blank"">Verified by Public Record</a>",8/24/20,,,10469,20' x 46',"8,439 SF / 75' x 112.52'",,1899,,2,
"236 Edgewater Park, Unit B",236 Edgewater Park,Edgewater Park,Bronx,"$280,000 ",$286 ,5,2,2,1.5,1,1,978,$435 ,$435 ,,Co-Operative,Detached,Co-op,Sold,31,8/24/20,1/10/20,"$309,000 ","$309,000 ",2/10/20,"$280,000 ",Unverified,8/24/20,,,10465,,,"Playground
Private Outdoor Space",,,,
615 Clarence Ave,615 Clarence Ave,Throgs Neck,Bronx,"$399,000 ",$578 ,4,2,1,1,1,,690,,$244 ,$245 ,House/Building/Single Family,Detached/Single Family,Townhouse/Single Family,Sold,92,8/24/20,3/17/20,"$399,000 ","$399,000 ",6/22/20,"$399,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090100556001"" target=""_blank"">Verified by Public Record</a>",8/24/20,,,10465,15' x 42',"2,358 SF / 23.58' x 100'","Private Outdoor Space
Back Yard",1930,,1,
"91 Van Cortlandt Ave W, Unit 7D",91 Van Cortlandt Ave W,Kingsbridge Heights,Bronx,"$185,000 ",$237 ,3,1,1,1,1,,780,$648 ,$648 ,,Co-op/Co-Operative,,Co-op,Sold,98,11/19/20,5/19/20,"$184,900 ","$184,900 ",,"$185,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090800530001"" target=""_blank"">Verified by Public Record</a>",8/25/20,,,10463,,,,,,,
"3135 Johnson Ave, Unit 4G",3135 Johnson Ave,Spuyten Duyvil,Bronx,"$370,000 ",$370 ,,2,,1,1,,"1,000",$901 ,$901 ,,Co-op,,Co-op,Sold,,,,,,,"$370,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090201193001"" target=""_blank"">Public Record Only</a>",8/25/20,,,10463,,,Common Outdoor Space,1953,,122,
2052 Bathgate Ave,2052 Bathgate Ave,East Tremont,Bronx,"$289,000 ",$191 ,,5,,2.5,2,1,"1,516",,$240 ,$241 ,House/Building,Single Family,Single Family/Townhouse,Sold,,,,,,,"$289,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090100506001"" target=""_blank"">Public Record Only</a>",8/25/20,,,10457,18' x 32',"2,346 SF / 36' x 65.17'",,1910,,1,
4137 De Reimer Ave,4137 De Reimer Ave,Wakefield,Bronx,"$849,000 ",$267 ,,5,5,4.5,4,1,"3,174",,$651 ,$651 ,House/Building/Multi Family,All Multi Family/Two Family,Townhouse/Multi Family,Sold,56,8/26/20,5/15/20,"$849,000 ","$849,000 ",7/10/20,"$849,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090200792001"" target=""_blank"">Verified by Public Record</a>",8/25/20,,,10466,19' x 62.65',"2,375 SF / 25' x 95'",,2015,,2,
1745 Seminole Ave,1745 Seminole Ave,Morris Park,Bronx,"$400,000 ",$228 ,,,,,,,"1,757",,,,House/Building,Single Family,Single Family/Townhouse,Sold,,,,,,,"$400,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020092900981001"" target=""_blank"">Public Record Only</a>",8/25/20,,,10461,22' x 48',"2,057 SF / 22' x 93.5'",,1950,,1,
6029 Delafield Ave,6029 Delafield Ave,North Riverdale,Bronx,"$720,000 ",$272 ,10,3,4,3.5,3,1,"2,646",,$826 ,$827 ,House/Building,All Multi Family/Two Family,Townhouse/Multi Family,Sold,65,8/29/20,5/8/20,"$750,000 ","$750,000 ",,"$720,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020082800585001"" target=""_blank"">Verified by Public Record</a>",8/26/20,,,10471,20.67' x 34',"2,310 SF / 25' x 92.42'",Back Yard,1940,,2,
"5800 Arlington Ave, Unit 12R",Skyview on the Hudson,North Riverdale,Bronx,"$315,000 ",,3,1,1,1,1,,,$744 ,$744 ,,,,Co-op,Sold,22,8/26/20,2/26/20,"$315,000 ","$315,000 ",4/17/20,"$315,000 ",Unverified,8/26/20,,,10471,,,"Balcony
Common Outdoor Space",1960,"Full-Time Doorman, Concierge",435,
"1 Metropolitan Oval, Unit 6B",1 Metropolitan Oval,Parkchester,Bronx,"$225,000 ",$296 ,6,2,1,1,1,,759,$758 ,$855 ,$97 ,Condominium/Condo,,Condo,Sold,25,8/27/20,6/1/20,"$230,000 ","$230,000 ",6/26/20,"$225,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090300105001"" target=""_blank"">Verified by Public Record</a>",8/26/20,,,10462,,,,,,,
2493 Davidson Ave,2493 Davidson Ave,University Heights,Bronx,"$446,000 ",$177 ,,,,,,,"2,520",,,,House/Building,Two Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$446,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020091100906001"" target=""_blank"">Public Record Only</a>",8/26/20,,,10468,20' x 60',"2,500 SF / 25' x 100'",,1901,,2,
"3901 Independence Ave, Unit 7C",3901 Independence Ave,Riverdale,Bronx,"$210,000 ",$263 ,4,1,1,1,1,,800,$837 ,$837 ,,Co-op/Co-Operative,Attached,Co-op,Sold,,9/11/20,2/24/20,"$225,000 ","$225,000 ",6/18/20,"$210,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020091600840001"" target=""_blank"">Verified by Public Record</a>",8/26/20,,,10463,,,,1963,,106,
"25 Knolls Cres, Unit 4K",25 Knolls Cres,Spuyten Duyvil,Bronx,"$80,675 ",,,,,,,,,,,,Co-op,,Co-op,Sold,,,,,,,"$80,675 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020111300653001"" target=""_blank"">Public Record Only</a>",8/26/20,,,10463,,,,1954,,252,
"116 Admiral Ct, Unit 13",Harbour Pointe at Shorehaven,Harding Park,Bronx,"$460,000 ",$381 ,6,3,2,2,2,,"1,206",$650 ,$683 ,$33 ,Condominium/Condo,Attached,Condo,Sold,122,8/27/20,2/14/20,"$525,000 ","$469,000 ",6/15/20,"$460,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090300711001"" target=""_blank"">Verified by Public Record</a>",8/26/20,,,10473,,,"Common Garden
Private Outdoor Space
Gated Community",2005,Doorman,,
2533 Frisby Ave,2533 Frisby Ave,Westchester Village,Bronx,"$650,000 ",$311 ,,,,,,,"2,088",,,,House/Building,Two Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$650,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090100163004"" target=""_blank"">Public Record Only</a>",8/26/20,,,10461,22' x 44',"2,430 SF / 25.02' x 97.16'",,1925,,2,
"91 Van Cortlandt Ave W, Unit 5F",91 Van Cortlandt Ave W,Kingsbridge Heights,Bronx,"$180,000 ",$212 ,3,1,1,1,1,,850,$616 ,$616 ,,Co-op/Co-Operative,Attached,Co-op,Sold,49,9/2/20,2/25/20,"$185,000 ","$185,000 ",4/8/20,"$180,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090400579001"" target=""_blank"">Verified by Public Record</a>",8/27/20,,,10463,,,,,,,
"3215 Olinville Ave, Unit 1B",3215 Olinville Ave,Olinville,Bronx,"$83,000 ",$166 ,,Studio,1,1,1,,500,$529 ,$529 ,,Co-op/Co-Operative,Detached,Co-op,Sold,146,5/26/20,7/8/19,"$83,000 ","$85,000 ",5/26/20,"$83,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090400561001"" target=""_blank"">Verified by Public Record</a>",8/27/20,,,10467,,,Common Outdoor Space,1963,,47,
"715 Fox St, Unit 4H",715 Fox St,Longwood,Bronx,"$130,000 ",$260 ,2,Studio,1,1,1,,500,$278 ,$278 ,,Co-op/Co-Operative,Attached,Co-op,Sold,47,8/27/20,1/9/20,"$140,000 ","$140,000 ",2/25/20,"$130,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020081300232001"" target=""_blank"">Verified by Public Record</a>",8/27/20,,,10455,,,,2008,,50,
"3235 Barker Ave, Unit 3F",3235 Barker Ave,Olinville,Bronx,"$125,000 ",$167 ,4,1,1,1,1,,750,$845 ,$845 ,,Co-op/Co-Operative,Attached,Co-op,Sold,153,8/27/20,1/18/20,"$149,999 ","$129,999 ",6/19/20,"$125,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020082600617001"" target=""_blank"">Verified by Public Record</a>",8/27/20,,,10467,,,,1953,,,
"665 Thwaites Pl, Unit 6O",665 Thwaites Pl,Bronxwood,Bronx,"$278,000 ",$293 ,4,1,1,1,1,,950,$705 ,$705 ,,Co-op,,Co-op,Sold,1,10/15/20,5/4/20,,"$285,000 ",6/23/20,"$278,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090201199001"" target=""_blank"">Verified by Public Record</a>",8/27/20,,,10467,,,Common Outdoor Space,1962,,136,
1976 Matthews Ave,1976 Matthews Ave,Morris Park,Bronx,"$780,000 ",$344 ,,5,3,2.5,2,1,"2,268",,$535 ,$535 ,House/Building/Multi Family,All Multi Family/Two Family,Townhouse/Multi Family,Sold,74,8/27/20,3/2/20,"$849,900 ","$849,900 ",5/18/20,"$780,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090300244001"" target=""_blank"">Verified by Public Record</a>",8/27/20,,,10462,18' x 44',"2,500 SF / 25' x 100'",Back Yard,1970,,2,
1833 Bogart Ave,1833 Bogart Ave,Morris Park,Bronx,"$815,000 ",$416 ,,5,3,3,3,,"1,960",,$498 ,$498 ,House/Building/Multi Family/Multi-Family 2-4,All Multi Family/Two Family/Detached,Townhouse/Multi Family,Sold,123,8/27/20,3/9/20,"$855,000 ","$840,000 ",7/8/20,"$815,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090400616001"" target=""_blank"">Verified by Public Record</a>",8/27/20,,,10462,20' x 46',"2,500 SF / 25' x 100'",,1925,,2,
"679 W 239th St, Unit 5E",679 W 239th St,Riverdale,Bronx,"$200,000 ",$250 ,3,1,1,1,1,,800,$746 ,$746 ,,Co-op/Residential/Co-Operative,Co-Op/Attached,Co-op/Co-Op/Single Family,Sold,141,8/28/20,12/17/19,"$224,900 ","$214,900 ",5/6/20,"$200,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090300652001"" target=""_blank"">Verified by Public Record</a>",8/27/20,,,10463,193' x 125',,,1960,,76,
934 Cranford Ave,934 Cranford Ave,Wakefield,Bronx,"$775,000 ",$538 ,,5,2,2,2,,"1,440",,$428 ,$429 ,House/Building/Multi Family,All Multi Family/Two Family,Townhouse/Multi Family,Sold,31,8/28/20,6/1/20,"$739,999 ","$739,999 ",7/2/20,"$775,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090100693001"" target=""_blank"">Verified by Public Record</a>",8/27/20,,,10466,16' x 37',"2,500 SF / 25' x 100'",,1920,,2,
"3777 Independence Ave, Unit 14H",3777 Independence Ave,Riverdale,Bronx,"$848,650 ",$530 ,7,3,2,2,2,,"1,600","$1,912 ","$1,912 ",,Co-op/Co-Operative,,Co-op,Sold,15,8/27/20,5/17/20,"$849,900 ","$849,900 ",6/1/20,"$848,650 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020082700499001"" target=""_blank"">Verified by Public Record</a>",8/27/20,,,10463,,,"Playground
Common Outdoor Space
Private Outdoor Space",1963,,196,
3520 Rombouts Ave,3520 Rombouts Ave,Eastchester,Bronx,"$295,000 ",$160 ,,2,,2,2,,"1,840",,$170 ,$171 ,House/Building,Single Family,Single Family/Townhouse,Sold,,,,,,,"$295,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090400871001"" target=""_blank"">Public Record Only</a>",8/27/20,,,10475,25' x 32',"2,500 SF / 25' x 100'",,1940,,1,
2437 Westervelt Ave,2437 Westervelt Ave,Pelham Gardens,Bronx,"$575,000 ",$295 ,7,3,3,2.5,2,1,"1,952",,$439 ,$439 ,House/Building/Single Family,Attached/All Multi Family/Two Family,Townhouse/Multi Family/Single Family,Sold,36,9/1/20,3/2/20,"$609,000 ","$609,000 ",7/16/20,"$575,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090200158002"" target=""_blank"">Verified by Public Record</a>",8/27/20,,,10469,19' x 36',"2,500 SF / 25' x 100'",,1945,,2,
"116 Admiral Ct, Unit 116",Harbour Pointe at Shorehaven,Harding Park,Bronx,"$460,000 ",$381 ,6,3,2,2,2,,"1,206",$650 ,$685 ,$35 ,,,Condo,Sold,30,8/28/20,2/18/20,"$489,000 ","$460,000 ",6/15/20,"$460,000 ",Unverified,8/27/20,,,10473,,,Common Garden,2005,,,
667 E 237th St,667 E 237th St,Wakefield,Bronx,"$665,000 ",$303 ,,Studio,,,,,"2,192",,$442 ,$442 ,House/Building/Multi Family/Multi-Family 2-4,Attached/All Multi Family/Two Family,Townhouse/Multi Family,Sold,94,8/28/20,3/17/20,"$665,000 ","$665,000 ",6/19/20,"$665,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020100800437001"" target=""_blank"">Verified by Public Record</a>",8/27/20,,,10470,21' x 55',"2,400 SF / 24' x 100'",,1901,,2,
"54 Indian Trl, Unit 54",54 Indian Trl,Silver Beach,Bronx,"$293,800 ",,,,,,,,,,,,Co-op,,Co-op,Sold,,,,,,,"$293,800 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020082700900001"" target=""_blank"">Public Record Only</a>",8/27/20,,,10465,,,,,,,
2699 Heath Ave,2699 Heath Ave,Fordham Manor,Bronx,"$619,000 ",$271 ,13,6,3,3,3,,"2,280",,$366 ,$366 ,House/Building,Single Family,Townhouse/Single Family,Sold,36,8/30/20,6/30/20,"$619,000 ","$619,000 ",8/6/20,"$619,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020091100649001"" target=""_blank"">Verified by Public Record</a>",8/28/20,,,10463,19' x 43',"2,500 SF / 25' x 100'",,1901,,1,
"1503 Metropolitan Ave, Unit MG",1503 Metropolitan Ave,Parkchester,Bronx,"$155,000 ",$257 ,,,,,,,602,,,,Condo,,Condo,Sold,,,,,,,"$155,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090100850003"" target=""_blank"">Public Record Only</a>",8/28/20,,,10462,,,,,,,
"2240 E Tremont Ave, Unit 4E",2240 E Tremont Ave,Parkchester,Bronx,"$165,000 ",$263 ,4,1,1,1,1,,628,$710 ,$720 ,$10 ,Condominium/Condo,Attached,Condo,Sold,85,8/28/20,1/30/20,"$159,000 ","$159,000 ",4/29/20,"$165,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090201077001"" target=""_blank"">Verified by Public Record</a>",8/28/20,,,10462,,,,,,,
2699 Heath Ave,2699 Heath Ave,Fordham Manor,Bronx,"$619,000 ",$271 ,9,3,3,3,3,,"2,280",,$310 ,$310 ,House/Building/Single Family,Detached/Single Family,Townhouse/Single Family,Sold,90,5/31/20,2/27/20,"$600,000 ","$600,000 ",,"$619,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020091100649001"" target=""_blank"">Verified by Public Record</a>",8/28/20,,,10463,19' x 43',"2,500 SF / 25' x 100'",,1901,,1,
1131 Forest Ave,1131 Forest Ave,Morrisania,Bronx,"$485,000 ",$159 ,,,,,,,"3,055",,,,House/Building,Three Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$485,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090400488001"" target=""_blank"">Public Record Only</a>",8/28/20,,,10456,20' x 56',"1,748 SF / 20' x 87.42'",,1910,,3,
"190 Schofield St, Unit 3F",190 Schofield St,City Island,Bronx,"$285,000 ",$355 ,3,1,2,1.5,1,1,802,$616 ,$878 ,$262 ,Condominium,Attached,Condo,Sold,88,8/28/20,11/18/19,"$309,000 ","$299,000 ",2/14/20,"$285,000 ",Unverified,8/28/20,,,10464,,,"Common Outdoor Space
Private Outdoor Space",,,,
"170 Schofield St, Unit 3F",170 Schofield St,City Island,Bronx,"$285,000 ",$355 ,,,,,,,802,,,,Condo,,Condo,Sold,,,,,,,"$285,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090800589001"" target=""_blank"">Public Record Only</a>",8/28/20,,,10464,,,,1990,,92,
3558 Willett Ave,3558 Willett Ave,Williamsbridge,Bronx,"$619,999 ",$319 ,,Studio,,,,,"1,944",,$282 ,$282 ,House/Building/Multi Family,All Multi Family/Two Family/Single Family,Townhouse/Multi Family/Single Family,Sold,56,9/17/20,5/1/20,"$649,999 ","$619,999 ",6/26/20,"$619,999 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090900654001"" target=""_blank"">Verified by Public Record</a>",8/28/20,,,10467,16' x 36',"2,000 SF / 20' x 100'",,1910,,2,
780 Bartholdi St,780 Bartholdi St,Olinville,Bronx,"$800,000 ",$322 ,12,8,,5,,,"2,488",,$673 ,$673 ,House/Building,Three Family/All Multi Family,Townhouse/Multi Family,Sold,95,9/22/20,2/20/20,"$850,000 ","$850,000 ",,"$800,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020091300082002"" target=""_blank"">Verified by Public Record</a>",8/28/20,,,10467,25' x 35',"4,805 SF / 50.58' x 95'",,1910,,3,
2005 Hermany Ave,2005 Hermany Ave,Unionport,Bronx,"$425,000 ",$253 ,,,,,,,"1,680",,,,House/Building,Single Family/Two Family/All Multi Family,Single Family/Multi Family/Townhouse,Sold,,,,,,,"$425,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090800873001"" target=""_blank"">Public Record Only</a>",8/28/20,,,10473,20' x 42',"2,060 SF / 20' x 103'",,1987,,1,
753 Waring Ave,753 Waring Ave,Bronxwood,Bronx,"$550,500 ",$227 ,,,,,,,"2,425",,,,House/Building,Two Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$550,500 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020083100821001"" target=""_blank"">Public Record Only</a>",8/28/20,,,10467,20' x 37',"2,500 SF / 25' x 100'",,1965,,2,
2909 Grace Ave,2909 Grace Ave,Baychester,Bronx,"$625,000 ",$306 ,,3,2,2,2,,"2,040",,$621 ,$622 ,House/Building/Multi Family,All Multi Family/Two Family,Townhouse/Multi Family,Sold,25,8/30/20,4/15/20,"$590,000 ","$590,000 ",5/12/20,"$625,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090300544001"" target=""_blank"">Verified by Public Record</a>",8/28/20,,,10469,17' x 60',"2,374 SF / 25' x 94.99'",,2004,,2,
832 St Ouen St,832 St Ouen St,Wakefield,Bronx,"$720,000 ",$328 ,,5,2,2,2,,"2,195",,$536 ,$537 ,House/Building/Multi Family/Multi-Family 2-4,Attached/All Multi Family/Two Family,Townhouse/Multi Family,Sold,115,8/31/20,11/3/19,"$700,000 ","$700,000 ",5/23/20,"$720,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090800951001"" target=""_blank"">Verified by Public Record</a>",8/28/20,,,10470,25' x 42',"4,726 SF / 49.75' x 95'",,1925,,2,
1100 Neill Ave,1100 Neill Ave,Morris Park,Bronx,"$635,000 ",$335 ,,,,,,,"1,898",,,,House/Building,Single Family/Two Family/All Multi Family,Single Family/Multi Family/Townhouse,Sold,,,,,,,"$635,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090400213002"" target=""_blank"">Public Record Only</a>",8/28/20,,,10461,21' x 46',"2,400 SF / 24' x 100'",,1955,,2,
"325 E 201st St, Unit 2A",325 E 201st St,Bedford Park,Bronx,"$178,000 ",$223 ,3,1,1,1,1,,800,$650 ,$650 ,,Co-op/Co-Operative,Attached,Co-op,Sold,140,3/30/20,9/29/19,"$180,000 ","$180,000 ",3/30/20,"$178,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090200863001"" target=""_blank"">Verified by Public Record</a>",8/28/20,,,10458,,,,1950,,73,
"1490 Outlook Ave, Unit 2A",1490 Outlook Ave,Spencer Estates,Bronx,"$532,000 ",$384 ,5,3,3,2.5,2,1,"1,387",$746 ,$826 ,$81 ,Condominium/Condo,Attached,Condo,Sold,246,8/29/20,5/13/19,"$569,000 ","$540,000 ",7/28/20,"$532,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090300582001"" target=""_blank"">Verified by Public Record</a>",8/28/20,,,10465,,,Private Outdoor Space,2006,Doorman,36,
1326 Croes Ave,1326 Croes Ave,Bronx River,Bronx,"$850,000 ",$317 ,,Studio,,,,,"2,680",,"$1,085 ","$1,086 ",House/Building/Multi Family,4+ Family/All Multi Family,Townhouse/Multi Family,Sold,58,9/24/20,5/18/20,"$969,000 ","$899,000 ",7/15/20,"$850,000 ","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020090200757001"" target=""_blank"">Verified by Public Record</a>",8/28/20,,,10472,20' x 67',"2,500 SF / 25' x 100'",,1927,,4,
