Address,Building Name,Neighborhood,City,Price (Last Known),PPSF,R,Bd,Total Ba,MLS Ba,Full Ba,HBa,Sq Ft,Monthly Fees,Monthly Fees & Taxes,Taxes Per Mo.,MLS Property Type,MLS Property Subtype,Compass Property Type,Status,DOM,Updated Date,Listed Date,Listed Price,Last Asking,Contract Date,Sold Price,Closed Price Verification,Sold Date,Open House,Open House Type,ZIP,Building Size,Lot Size,Outdoor Space,Year Built,Service Level,Building Units,Notes,
10 Niles Pl,10 Niles Pl,Willowbrook,Staten Island,"$795,000",$527,8,4,2,2,2,,"1,508",,$570,$570,Residential/House/Building,Single Family - Detached/Single Family,Townhouse/Single Family,Sold,9,10/14/2020,07/20/2020,"$799,000","$799,000",08/20/2020,"$795,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020111900158001"" target=""_blank"">Verified by Public Record</a>",10/13/2020,,,10314,25' x 46',"3,895 SF / 41' x 95'",Private Outdoor Space,1970,,1,,
46 Belair Ln,46 Belair Ln,Rosebank,Staten Island,"$420,000",$368,6,3,3,2.5,2,1,"1,140",$64,$486,$422,Residential/House/Building,All Multi Family/Two Family/Single Family - Semi-Attached/Single Family,Townhouse/Multi Family/Single Family,Sold,132,10/15/2020,04/22/2020,"$489,900","$464,900",09/01/2020,"$420,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020111700773001"" target=""_blank"">Verified by Public Record</a>",10/13/2020,,,10305,15' x 38',"2,574 SF / 22' x 117'",,1995,,1,,
71 Hall Ave,71 Hall Ave,Willowbrook,Staten Island,"$682,228",$406,7,4,3,2.5,2,1,"1,680",$76,$76,,Residential/House/Building,All Multi Family/Two Family/Single Family - Semi-Attached/Single Family,Townhouse/Multi Family/Single Family,Sold,463,10/15/2020,06/28/2018,"$679,000","$679,000",10/04/2019,"$682,228","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020112500160001"" target=""_blank"">Verified by Public Record</a>",10/13/2020,,,10314,20' x 28',"12,138 SF / 102' x 119'",,2018,,1,,
4905 Amboy Rd,4905 Amboy Rd,Annadale,Staten Island,"$550,000",$423,6,3,1,1,1,,"1,300",,$533,$534,Residential/House/Building,Single Family - Detached/All Multi Family/Two Family/Single Family,Townhouse/Multi Family/Single Family,Sold,30,10/09/2020,07/22/2020,"$575,000","$575,000",08/21/2020,"$550,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020111800784001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10312,25' x 26',"6,850 SF / 50' x 137'","Porch
Private Outdoor Space",1940,,1,,
23 Alvine Ave,n/a,Huguenot,Staten Island,"$580,000",$302,6,3,2,1.75,2,,"1,920",,$441,$442,Residential,Single Family - Detached/Single Family,Single Family,Sold,30,10/09/2020,07/15/2020,"$649,000","$649,000",08/14/2020,"$580,000",Unverified,10/09/2020,,,10312,24' x 40',"4,400 SF / 44' x 100'","Deck
Porch
Private Outdoor Space",1935,,1,,
97 Holcomb Ave,97 Holcomb Ave,Huguenot,Staten Island,"$477,000",$497,5,3,1,1,1,,960,,$505,$506,Residential/House/Building,Single Family - Detached/Single Family,Townhouse/Single Family,Sold,361,10/10/2020,08/19/2019,"$599,000","$499,900",08/14/2020,"$477,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020111700436001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10312,24' x 40',"4,000 SF / 40' x 100'",,1965,,1,,
66 Everton Ave,66 Everton Ave,Huguenot,Staten Island,"$475,000",$307,7,2,2,1.5,1,1,"1,547",,$391,$392,Residential/House/Building,Single Family - Attached/Single Family,Townhouse/Single Family,Sold,130,01/27/2021,06/01/2020,"$475,000","$475,000",10/09/2020,"$475,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020112301252001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10312,15' x 35',"1,605 SF / 15' x 107'",,1988,,1,,
66 Everton Ave,66 Everton Ave,Huguenot,Staten Island,"$475,000",$307,7,2,2,1.5,1,1,"1,547",,$384,$385,Residential/House/Building,Single Family - Attached/Single Family,Townhouse/Single Family,Sold,6,07/20/2020,07/14/2020,"$489,900","$489,900",,"$475,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020112301252001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10312,15' x 35',"1,605 SF / 15' x 107'","Deck
Fence
Private Outdoor Space",1988,,1,,
17 Seacrest Ln,17 Seacrest Ln,Tottenville,Staten Island,"$380,000",$457,5,2,2,1.75,2,,832,,$293,$294,Residential/House/Building,Single Family - Attached/Single Family,Townhouse/Single Family,Sold,19,10/13/2020,07/08/2020,"$399,998","$399,998",07/29/2020,"$380,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020111700431001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10307,16' x 26',416 SF / 16' x 26',"Private Yard
Fence",1989,,1,,
41 Gloria Ct,41 Gloria Ct,Westerleigh,Staten Island,"$570,000",$235,7,3,2,1.5,1,1,"2,430",,$420,$420,Residential/House/Building,All Multi Family/Two Family - Semi-Attached/Two Family,Townhouse/Multi Family,Sold,61,10/15/2020,06/10/2020,"$599,900","$599,900",08/10/2020,"$570,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020112401049001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10302,18' x 45',"2,000 SF / 25' x 80'",Private Outdoor Space,2001,,2,,
403 Ramona Ave,403 Ramona Ave,Huguenot,Staten Island,"$550,000",$270,,3,,1.75,2,,"2,038",,$249,$250,House/Building,Single Family/Two Family/All Multi Family,Single Family/Multi Family/Townhouse,Sold,,,,,,,"$550,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020113000794001"" target=""_blank"">Public Record Only</a>",10/09/2020,,,10312,27' x 44',"4,410 SF / 42' x 105'",,1974,,1,,
266 Green Valley Rd,266 Green Valley Rd,Huguenot,Staten Island,"$650,000",$382,11,3,4,3,3,1,"1,700",,$532,$532,Residential/House/Building,Single Family - Detached/Single Family,Townhouse/Single Family,Sold,33,01/14/2021,06/27/2020,"$649,000","$649,000",07/30/2020,"$650,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020111600795001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10312,19' x 50',"3,240 SF / 36' x 90'","Porch
Private Outdoor Space
Back Yard",1980,,1,,
73 Wiman Ave,73 Wiman Ave,Great Kills,Staten Island,"$1,050,000",$300,8,4,4,3.75,4,,"3,500",,$578,$578,Residential/House/Building,Single Family - Detached/Single Family,Townhouse/Single Family,Sold,553,10/12/2020,01/23/2019,"$1,200,000","$1,200,000",07/29/2020,"$1,050,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020120400846001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10308,40' x 35',"6,480 SF / 60' x 108'",Private Outdoor Space,1940,,1,,
640 Drumgoole Rd W,640 Drumgoole Rd W,Greenridge,Staten Island,"$495,000",$516,6,3,2,2,2,,960,,$481,$481,Residential/House/Building/Single Family,Single Family - Detached/All Multi Family/Two Family/Detached/Single Family,Townhouse/Multi Family/Single Family,Sold,24,10/09/2020,07/07/2020,"$499,000","$499,000",07/31/2020,"$495,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020112000941001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10312,25' x 52',"4,000 SF / 40' x 100'","Porch
Private Outdoor Space
Back Yard",1980,,1,,
93 Preston Ave,93 Preston Ave,Eltingville,Staten Island,"$594,000",$563,6,3,2,1.5,1,1,"1,056",,$433,$433,Residential/House/Building,Single Family - Detached/Single Family,Townhouse/Single Family,Sold,172,10/09/2020,02/10/2020,"$725,000","$640,000",07/31/2020,"$594,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020111200713001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10312,24' x 44',"4,000 SF / 40' x 100'",Private Outdoor Space,1965,,1,,
516 Ilyssa Way,516 Ilyssa Way,Greenridge,Staten Island,"$395,000",$292,6,2,3,2,1,2,"1,354",$151,$364,$213,Residential/House/Building,All Multi Family/Two Family/Single Family - Attached/Single Family,Townhouse/Multi Family/Single Family,Sold,27,11/10/2020,07/07/2020,"$389,000","$389,000",08/03/2020,"$395,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020121700867001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10312,19.67' x 25.83',516 SF / 20' x 25.83',,1996,,1,,
81 Tynan St,81 Tynan St,Greenridge,Staten Island,"$570,000",$466,6,3,3,2,1,2,"1,224",,$481,$482,Residential/House/Building,Single Family - Semi-Attached/Single Family,Townhouse/Single Family,Sold,23,10/21/2020,07/07/2020,"$595,000","$595,000",07/30/2020,"$570,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020112400976001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10312,18' x 37',"2,800 SF / 28' x 100'",,1979,,1,,
100 Ambassador Ln,100 Ambassador Ln,Woodrow,Staten Island,"$525,000",$265,6,3,4,2.75,2,2,"1,980",$52,$412,$360,Residential/House/Building,All Multi Family/Two Family/Single Family - Semi-Attached,Townhouse/Multi Family/Single Family,Sold,57,10/16/2020,06/08/2020,"$539,999","$539,999",08/04/2020,"$525,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020113000290001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10309,22' x 45',"2,484 SF / 26.79' x 92.75'",Private Outdoor Space,2001,,1,,
88 Brookfield Ave,88 Brookfield Ave,Great Kills,Staten Island,"$640,000",$386,6,3,2,1.75,2,,"1,660",,$502,$503,Residential/House/Building,Single Family - Detached/Single Family,Townhouse/Single Family,Sold,30,10/09/2020,06/23/2020,"$649,999","$649,999",07/23/2020,"$640,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021012500727001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10308,37' x 28',"5,000 SF / 50' x 100'",Porch,1960,,1,,
640 Drumgoole Rd W,640 Drumgoole Rd W,Greenridge,Staten Island,"$495,000",$516,6,4,2,2,2,,960,,$458,$458,Residential/House/Building/Single Family,Single Family - Detached/All Multi Family/Two Family/Single Family,Townhouse/Multi Family/Single Family,Sold,238,07/02/2020,11/06/2019,"$588,000","$568,000",,"$495,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020112000941001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10312,25' x 52',"4,000 SF / 40' x 100'","Porch
Private Outdoor Space
Back Yard",1980,,1,,
61 Princeton Ave,61 Princeton Ave,New Dorp,Staten Island,"$600,000",$426,7,4,2,2,2,,"1,408",,$564,$565,Residential/House/Building,Single Family - Detached/Single Family,Townhouse/Single Family,Sold,127,10/14/2020,05/07/2020,"$699,000","$670,000",09/11/2020,"$600,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020102000525001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10306,31' x 27',"5,000 SF / 50' x 100'",Private Outdoor Space,1950,,1,,
391 St George Rd,391 St George Rd,Lighthouse Hill,Staten Island,"$635,000",$282,8,4,3,2.25,2,1,"2,250",,$501,$502,Residential/House/Building,Single Family - Detached/Single Family,Townhouse/Single Family,Sold,311,10/21/2020,10/08/2019,"$718,999","$684,000",08/14/2020,"$635,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020111600599001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10306,20' x 36',"5,100 SF / 51' x 100'",Private Outdoor Space,1899,,1,,
32 Walden Ave,32 Walden Ave,New Dorp,Staten Island,"$800,000",$310,7,3,4,3,3,1,"2,580",,$682,$682,Residential/House/Building,Single Family - Detached/Single Family,Townhouse/Single Family,Sold,180,10/09/2020,02/06/2020,"$889,000","$889,000",08/04/2020,"$800,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020111900836001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10306,35' x 40',"5,000 SF / 50' x 100'","Balcony
Common Outdoor Space
Private Outdoor Space",1988,,1,,
68 Geldner Ave,68 Geldner Ave,New Dorp,Staten Island,"$609,000",$271,9,4,3,2.5,3,,"2,250",,$529,$529,Residential/House/Building,Single Family - Detached/Single Family,Townhouse/Single Family,Sold,238,10/09/2020,12/10/2019,"$690,000","$639,000",08/04/2020,"$609,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020113001055001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10306,25' x 45',"4,000 SF / 40' x 100'",Private Outdoor Space,1955,,1,,
66 Princess St,66 Princess St,Elm Park,Staten Island,"$488,000",$336,6,3,3,2.25,2,1,"1,452",,$366,$367,Residential/House/Building,Single Family - Semi-Attached/Single Family,Townhouse/Single Family,Sold,64,10/20/2020,05/07/2020,"$475,000","$475,000",07/10/2020,"$488,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020111900809001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10303,15' x 49',"2,750 SF / 25' x 110'",Deck,1990,,1,,
29 Spartan Ave,29 Spartan Ave,Graniteville,Staten Island,"$513,198",$180,6,6,4,3.5,4,,"2,848",,$449,$450,Residential/House/Building,All Multi Family/Two Family - Detached/Two Family,Townhouse/Multi Family,Sold,"1,004",10/24/2020,12/06/2017,"$649,000","$629,000",,"$513,198","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020120200371001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10303,25' x 48',"3,800 SF / 40' x 95'",Private Outdoor Space,1980,,2,,
"892 Armstrong Ave, Unit B3",892 Armstrong Ave,Eltingville,Staten Island,"$210,000",$389,3,1,1,1,1,,540,$250,$421,$171,Residential/Condo,Apartment,Condo,Sold,63,10/28/2020,03/09/2020,"$229,000","$229,000",07/20/2020,"$210,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020110400906001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10308,,,Private Outdoor Space,,,,,
105 Excelsior Ave,105 Excelsior Ave,Prince's Bay,Staten Island,"$965,000",$251,9,5,4,3.5,4,,"3,850",,$730,$731,Residential/House/Building,All Multi Family/Two Family - Detached/Two Family,Townhouse/Multi Family,Sold,20,10/14/2020,06/17/2020,"$939,900","$939,900",07/07/2020,"$965,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020122900238001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10309,30' x 45',"5,675 SF / 50' x 113.5'",,1999,,2,,
350 Douglas Rd,350 Douglas Rd,Emerson Hill,Staten Island,"$1,660,000",$280,11,4,5,4.25,4,1,"5,932",,"$1,198","$1,198",Residential/House/Building,Single Family - Detached/Single Family,Townhouse/Single Family,Sold,33,10/09/2020,07/08/2020,"$1,799,000","$1,799,000",08/10/2020,"$1,660,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020111900437001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10304,50' x 32',"11,772 SF / 108' x 109'",Private Outdoor Space,1970,,1,,
6 Kell Ave,6 Kell Ave,Westerleigh,Staten Island,"$620,000",$412,7,4,2,2,2,,"1,506",,$523,$523,Residential/House/Building,Single Family - Detached/All Multi Family/Two Family/Single Family,Townhouse/Multi Family/Single Family,Sold,87,10/09/2020,05/08/2020,"$649,000","$649,000",08/03/2020,"$620,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020111001139001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10314,26' x 39',"5,100 SF / 50' x 102'",,1950,,1,,
405 Bryson Ave,405 Bryson Ave,South New York,Staten Island,"$790,000",$369,10,4,2,1.75,2,,"2,142",,$662,$662,Residential/House/Building,Single Family - Detached/Single Family,Townhouse/Single Family,Sold,28,08/11/2020,07/14/2020,"$799,000","$799,000",08/11/2020,"$790,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020111200700001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10314,47' x 28',"7,300 SF / 73' x 100'",Private Outdoor Space,1970,,1,,
17 Margo Loop,17 Margo Loop,Tompkinsville,Staten Island,"$350,000",$198,,3,,1.5,1,1,"1,764",$50,$389,$339,House/Building,Single Family/Two Family/All Multi Family,Single Family/Multi Family/Townhouse,Sold,,,,,,,"$350,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020113000429001"" target=""_blank"">Public Record Only</a>",10/09/2020,,,10301,14' x 42',"1,470 SF / 14' x 105'",,2001,,1,,
"20 Cliff St, Unit 6N",20 Cliff St,Shore Acres,Staten Island,"$390,000",,,,,,,,,,,,Co-op,,Co-op,Sold,,,,,,,"$390,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020102700324001"" target=""_blank"">Public Record Only</a>",10/09/2020,,,10305,,,Common Outdoor Space,1964,,122,,
"5 Windham Loop, Unit 6D",5 Windham Loop,Heartland Village,Staten Island,"$380,000",$338,5,2,2,1.75,2,,"1,123",,$360,$361,Residential/Condo,Condo/Apartment,Condo,Sold,64,10/09/2020,07/13/2020,"$409,000","$409,000",09/15/2020,"$380,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020111800809001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10314,,,Common Outdoor Space,,,,,
60 Kingsbridge Ave,60 Kingsbridge Ave,Bulls Head,Staten Island,"$600,000",$256,8,3,3,2.5,2,1,"2,346",,$501,$502,Residential/House/Building,All Multi Family/Two Family/Single Family - Semi-Attached,Townhouse/Multi Family/Single Family,Sold,195,10/09/2020,02/11/2020,"$658,888","$658,888",08/24/2020,"$600,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020111201278001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10314,17.83' x 49',"2,567 SF / 25.67' x 100'","Balcony
Deck
Private Outdoor Space",1981,,2,,
4 Daniella Ct,4 Daniella Ct,Heartland Village,Staten Island,"$730,000",$356,7,4,5,4.25,4,1,"2,050",$60,$583,$523,Residential/House/Building,All Multi Family/Two Family/Two Family - Attached/Single Family,Townhouse/Multi Family/Single Family,Sold,54,10/09/2020,05/22/2020,"$725,000","$725,000",07/15/2020,"$730,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020112401240001"" target=""_blank"">Verified by Public Record</a>",10/09/2020,,,10314,26' x 45',"2,028 SF / 26' x 78'","Deck
Private Outdoor Space",2000,,2,,
24A Detroit Ave,24a Detroit Ave,Annadale,Staten Island,"$580,000",$264,,3,,1.5,1,1,"2,200",$117,$632,$515,House/Building,Two Family/All Multi Family,Multi Family/Townhouse,Sold,,,,,,,"$580,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020112400819001"" target=""_blank"">Public Record Only</a>",10/08/2020,,,10312,,,,,,,,
"40 Meadow Pl, Unit A",40 Meadow Pl,Midland Beach,Staten Island,"$269,900",$456,4,1,1,1,1,,592,$225,$400,$175,Residential,Single Family - Attached,Townhouse/Condo,Sold,15,10/08/2020,08/25/2020,"$269,900","$269,900",09/09/2020,"$269,900",Unverified,10/08/2020,,,10306,,,,,,,,
24 Detroit Ave,24 Detroit Ave,Annadale,Staten Island,"$580,000",$302,,,3,2.5,2,1,"1,920",,$564,$565,Residential,Multi-Family,Multi Family/Townhouse,Sold,67,10/08/2020,05/19/2020,"$599,900","$599,000",10/08/2020,"$580,000",Unverified,10/08/2020,,,10312,20' x 40',"3,650 SF / 25' x 146'","Deck
Private Outdoor Space",1993,,2,,
74 St Josephs Ave,74 St Josephs Ave,Port Richmond,Staten Island,"$555,000",$494,7,3,2,1.5,1,1,"1,124",,$277,$277,Residential/Single Family,Single Family - Detached,Townhouse/Single Family,Sold,48,10/09/2020,05/26/2020,"$599,000","$599,000",07/13/2020,"$555,000",Unverified,10/08/2020,,,10302,20' x 26',"3,000 SF / 30' x 100'","Private Yard
Private Outdoor Space",1920,,1,,
2 Hilltop Rd,2 Hilltop Rd,Eltingville,Staten Island,"$300,000",$318,,1,,1,1,,944,,$457,$458,Residential/House/Building/Land/Lots,All Multi Family/Residential/Two Family/Single Family,Townhouse/Multi Family/Land/Single Family,Sold,97,10/26/2020,07/15/2020,"$449,000","$449,000",10/20/2020,"$300,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020112300401001"" target=""_blank"">Verified by Public Record</a>",10/08/2020,,,10312,22' x 36',0.14 AC,Private Outdoor Space,1920,,1,,
"24 Detroit Ave, Unit A",24 Detroit Ave,Annadale,Staten Island,"$580,000",$302,8,4,3,2.5,2,1,"1,920",$117,$682,$565,Residential,Two Family - Attached,Multi Family,Sold,68,01/27/2021,05/18/2020,"$599,900","$599,900",07/25/2020,"$580,000",Unverified,10/08/2020,,,10312,20' x 40',"3,650 SF / 25' x 146'","Deck
Private Outdoor Space",1993,,2,,
27 Walker St,27 Walker St,Port Richmond,Staten Island,"$365,000",$346,6,2,2,1.5,1,1,"1,056",,$249,$250,Residential/House/Building,Single Family - Detached/Single Family,Townhouse/Single Family,Sold,44,10/09/2020,06/02/2020,"$389,999","$389,999",07/29/2020,"$365,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020111800838001"" target=""_blank"">Verified by Public Record</a>",10/08/2020,,,10302,16' x 36',"2,200 SF / 22' x 100'","Fence
Private Outdoor Space
Front Yard",1905,,1,,
16 Lexington Ave,16 Lexington Ave,Port Richmond,Staten Island,"$465,000",$386,6,3,2,1.75,2,,"1,206",,$349,$349,Residential/House/Building,Single Family - Detached/All Multi Family/Two Family/Single Family,Townhouse/Multi Family/Single Family,Sold,57,10/15/2020,06/09/2020,"$479,900","$479,900",08/05/2020,"$465,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020111001177001"" target=""_blank"">Verified by Public Record</a>",10/08/2020,,,10302,16' x 26',"2,500 SF / 25' x 100'",,1930,,1,,
428 Page Ave,n/a,Tottenville,Staten Island,"$935,000",$270,8,4,4,3.25,3,1,"3,460",,$750,$750,Residential,Single Family - Detached,Single Family,Sold,677,10/14/2020,11/01/2018,"$989,900","$949,900",09/08/2020,"$935,000",Unverified,10/08/2020,,,10307,0' x 0',"6,272 SF / 56' x 112'",,,,0,,
81 Oceanic Ave,81 Oceanic Ave,Eltingville,Staten Island,"$514,800",$319,6,4,1,1,1,,"1,616",,$444,$444,Residential/House/Building,Single Family - Detached/Single Family,Townhouse/Single Family,Sold,157,10/09/2020,03/02/2020,"$515,000","$515,000",08/06/2020,"$514,800","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020110600643001"" target=""_blank"">Verified by Public Record</a>",10/08/2020,,,10312,24' x 32',"3,200 SF / 40' x 80'","Deck
Porch
Private Outdoor Space",1925,,1,,
155 Gurley Ave,155 Gurley Ave,Great Kills,Staten Island,"$835,000",$268,7,3,3,2.5,2,1,"3,120",,$820,$820,Residential/House/Building,All Multi Family/Two Family - Detached/Two Family,Townhouse/Multi Family,Sold,23,10/20/2020,06/29/2020,"$849,000","$849,000",07/22/2020,"$835,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020111900424001"" target=""_blank"">Verified by Public Record</a>",10/08/2020,,,10308,30' x 44',"4,500 SF / 45' x 100'","Deck
Private Outdoor Space",1945,,1,,
319 Ramona Ave,319 Ramona Ave,Huguenot,Staten Island,"$950,000",$386,8,4,4,3.5,3,1,"2,460",,$513,$513,Residential/House/Building,All Multi Family/Two Family - Detached/Two Family/Single Family,Townhouse/Multi Family/Single Family,Sold,69,10/09/2020,07/01/2020,"$950,000","$950,000",09/08/2020,"$950,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020120801047001"" target=""_blank"">Verified by Public Record</a>",10/08/2020,,,10312,25' x 40',"3,813 SF / 41' x 93'",Private Outdoor Space,2014,,2,,
120 Northfield Ave,120 Northfield Ave,Arlington,Staten Island,"$275,000",$183,6,3,2,2,2,,"1,500",,$208,$208,Residential/House/Building,Single Family - Detached/All Multi Family/Two Family/Single Family,Townhouse/Multi Family/Single Family,Sold,36,01/11/2021,01/08/2020,"$315,000","$315,000",02/13/2020,"$275,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020113000845001"" target=""_blank"">Verified by Public Record</a>",10/08/2020,,,10303,18' x 43',"2,300 SF / 23' x 100'",Back Yard,1920,,1,,
388 Ilyssa Way,388 Ilyssa Way,Greenridge,Staten Island,"$360,400",$266,5,2,3,2,1,2,"1,354",$151,$386,$235,Residential/House/Building,Single Family - Attached/Single Family,Townhouse/Single Family,Sold,40,10/08/2020,07/03/2020,"$359,999","$359,999",08/12/2020,"$360,400","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020111900287001"" target=""_blank"">Verified by Public Record</a>",10/08/2020,,,10312,19.67' x 25.83',516 SF / 20' x 25.83',,1996,,1,,
"40 Meadow Pl, Unit 40A",40 Meadow Pl,Midland Beach,Staten Island,"$269,900",$456,,,,,,,592,,,,Condo,,Condo,Sold,,,,,,,"$269,900","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020111600661001"" target=""_blank"">Public Record Only</a>",10/08/2020,,,10306,,,,,,,,
"1160 Richmond Rd, Unit 5E",1160 Richmond Rd,Grasmere,Staten Island,"$150,000",,,,,,,,,,,,Co-op,,Co-op,Sold,,,,,,,"$150,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020102000572001"" target=""_blank"">Public Record Only</a>",10/08/2020,,,10304,,,,1969,,71,,
342 Winchester Ave,342 Winchester Ave,Eltingville,Staten Island,"$603,000",$416,7,4,2,2,2,,"1,449",,$543,$543,Residential/House/Building,Single Family - Detached/All Multi Family/Two Family/Single Family,Townhouse/Multi Family/Single Family,Sold,252,10/09/2020,11/29/2019,"$649,000","$649,000",08/07/2020,"$603,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020112500462001"" target=""_blank"">Verified by Public Record</a>",10/08/2020,,,10312,39' x 27',"5,250 SF / 70' x 75'",,1955,,1,,
