Address,Building Name,Neighborhood,City,Price (Last Known),PPSF,R,Bd,Total Ba,MLS Ba,Full Ba,HBa,Sq Ft,Monthly Fees,Monthly Fees & Taxes,Taxes Per Mo.,MLS Property Type,MLS Property Subtype,Compass Property Type,Status,DOM,Updated Date,Listed Date,Listed Price,Last Asking,Contract Date,Sold Price,Closed Price Verification,Sold Date,Open House,Open House Type,ZIP,Building Size,Lot Size,Outdoor Space,Year Built,Service Level,Building Units,Notes,
15 Poe St,15 Poe St,Tottenville,Staten Island,"$1,219,000",$325,9,5,4,3.5,3,1,"3,750",,$997,$998,Residential,Two Family - Detached,Multi Family,Sold,14,02/09/2021,09/09/2020,"$1,199,999","$1,199,999",09/23/2020,"$1,219,000",Unverified,02/08/2021,,,10307,60' x 36',"7,500 SF / 75' x 100'",Private Outdoor Space,1997,,2,,
89 Lenhart St,89 Lenhart St,Tottenville,Staten Island,"$725,000",$330,6,4,3,2.5,2,1,"2,200",,$533,$533,Residential,Two Family - Semi-Attached,Multi Family,Sold,47,02/08/2021,10/02/2020,"$769,000","$769,000",11/18/2020,"$725,000",Unverified,02/08/2021,,,10307,15' x 45',"3,702 SF / 34.93' x 106'",Deck,1997,,1,,
101 Shotwell Ave,101 Shotwell Ave,Greenridge,Staten Island,"$745,000",$346,7,3,3,3,3,,"2,152",,$717,$718,Residential,Two Family - Semi-Attached,Multi Family,Sold,86,02/09/2021,09/23/2020,"$769,900","$769,900",12/18/2020,"$745,000",Unverified,02/08/2021,,,10312,21' x 56',"3,930 SF / 30' x 131'","Deck
Private Outdoor Space",1980,,2,,
23 Tappen Ct,23 Tappen Ct,Stapleton,Staten Island,"$345,000",$345,5,2,2,1.5,1,1,"1,000",$75,$245,$171,Residential,Single Family - Attached,Single Family/Townhouse,Sold,130,02/09/2021,10/07/2020,,"$349,900",12/28/2020,"$345,000",Unverified,02/08/2021,,,10304,20' x 24.92',"1,080 SF / 20' x 54'",,1989,,1,,
8 Dartmouth Loop,8 Dartmouth Loop,New Dorp Beach,Staten Island,"$695,500",$535,6,4,4,3.5,3,1,"1,300",$50,$461,$412,Residential,Two Family - Attached/Multi-Family,Multi Family,Sold,38,02/09/2021,09/15/2020,"$699,000","$699,000",10/23/2020,"$695,500",Unverified,02/08/2021,,,10306,14' x 45',"2,730 SF / 21' x 130'",,2005,,2,,
39 Monterey Ave,n/a,Eltingville,Staten Island,"$668,000",$267,9,4,3,2.25,2,1,"2,506",,$624,$624,Residential,Single Family - Semi-Attached/Single Family,Single Family,Sold,128,02/08/2021,05/18/2020,"$719,800","$719,800",09/23/2020,"$668,000",Unverified,02/08/2021,,,10312,16' x 44',"3,250 SF / 25' x 130'","Deck
Private Outdoor Space",1989,,1,,
38 Poets Cir,38 Poets Cir,Arden Heights,Staten Island,"$408,000",$317,6,2,1,1,1,,"1,288",$63,$456,$394,Residential,Single Family - Attached,Single Family/Townhouse,Sold,99,02/11/2021,07/21/2020,"$465,000","$465,000",10/28/2020,"$408,000",Unverified,02/08/2021,,,10312,16' x 34',"1,404 SF / 12' x 117'",Deck,1987,,1,,
79 Cranford Ct,79 Cranford Ct,Oakwood Heights,Staten Island,"$428,000",$317,5,2,1,1,1,,"1,350",$69,$402,$333,Residential,Single Family - Attached,Single Family/Townhouse,Sold,84,02/09/2021,08/31/2020,"$456,000","$456,000",11/23/2020,"$428,000",Unverified,02/08/2021,,,10306,14' x 32',868 SF / 14' x 62',,1994,,1,,
78 Housman Ave,78 Housman Ave,Elm Park,Staten Island,"$465,000",$321,4,2,1,0.75,1,,"1,448",,$292,$293,Residential,Two Family - Detached,Multi Family,Sold,33,02/08/2021,09/25/2020,"$499,000","$499,000",10/28/2020,"$465,000",Unverified,02/08/2021,,,10303,19' x 40',"2,475 SF / 25' x 99'",Private Outdoor Space,1901,,2,,
17 Peachtree Ln,17 Peachtree Ln,Rossville,Staten Island,"$629,000",$433,7,3,3,2.25,2,1,"1,452",$51,$575,$524,Residential,Single Family - Attached,Single Family/Townhouse,Sold,77,02/09/2021,09/09/2020,"$699,000","$699,000",11/30/2020,"$629,000",Unverified,02/08/2021,,,10309,13.86' x 44',"1,991 SF / 23.5' x 84.73'",Private Outdoor Space,2010,,1,,
