Address,Building Name,Neighborhood,City,Price (Last Known),PPSF,R,Bd,Total Ba,MLS Ba,Full Ba,HBa,Sq Ft,Monthly Fees,Monthly Fees & Taxes,Taxes Per Mo.,MLS Property Type,MLS Property Subtype,Compass Property Type,Status,DOM,Updated Date,Listed Date,Listed Price,Last Asking,Contract Date,Sold Price,Closed Price Verification,Sold Date,Open House,Open House Type,ZIP,Building Size,Lot Size,Outdoor Space,Year Built,Service Level,Building Units,Notes,,
"101 W 24th St, Unit 18B",Chelsea Stratus,Chelsea,Manhattan,"$2,675,000","$2,154",4,2,2,2,2,,"1,242","$1,131","$3,545","$2,414",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"225 E 4th St, Unit 12",225 E 4th St,East Village,Manhattan,"$625,000",,3,1,1,1,1,,,$480,$480,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"5 Riverside Dr, Unit MAIS",5 Riverside Dr,Upper West Side,Manhattan,"$1,210,000",,4,2,2,2,2,,,"$1,890","$1,890",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"137 E 15th St, Unit 1B",137 E 15th St,Gramercy,Manhattan,"$1,900,000",,5,2,2,2,2,,,"$2,477","$2,477",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"60 E 8th St, Unit 10M",Georgetown Plaza,Greenwich Village,Manhattan,"$1,190,000","$1,322",3,1,1,1,1,,900,"$1,862","$1,862",,Co-op/Condop,,Co-op/Condop,Sold,,,,,,,,,,,,,,,,,,,,,
"101 Central Park W, Unit 3D",101 Central Park W,Upper West Side,Manhattan,"$1,950,000",,6,3,3,3,3,,,"$4,241","$4,241",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"101 Central Park W, Unit 3D",101 Central Park W,Upper West Side,Manhattan,"$1,950,000",,6,3,3,3,3,,,"$4,241","$4,241",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"452 W 19th St, Unit D1",452 W 19th St,Chelsea,Manhattan,"$1,925,000","$1,005",6,2,2,2,2,,"1,916","$1,164","$2,641","$1,477",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"156 Bank St, Unit 3A 3A",West Village Houses,West Village,Manhattan,"$1,195,000",,4,2,1,1,1,,,$983,$983,,,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"156 Bank St, Unit 3A",West Village Houses,West Village,Manhattan,"$1,100,000",,5,2,1,1,1,,,$983,$983,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"372 Central Park W, Unit 18XY",The Vaux Condominium,Upper West Side,Manhattan,"$2,150,000","$1,298",6,3,2,2,2,,"1,657","$1,105","$1,982",$877,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"131 E 15th St, Unit 4A",131 E 15th St,Gramercy,Manhattan,"$878,000",,4,2,1,1,1,,,"$1,550","$1,550",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"275 Greenwich St, Unit 8N",Greenwich Court,TriBeCa,Manhattan,"$2,000,000","$1,732",6,3,2,2,2,,"1,155","$1,635","$3,083","$1,448",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"425 E 13th St, Unit 2A",The A Building,East Village,Manhattan,"$999,000",,4,2,2,1.5,1,1,,"$1,449","$2,323",$874,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"88 Bleecker St, Unit 4D",Atrium,Greenwich Village,Manhattan,"$1,170,000",,,2,,1,,,,$778,$778,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"245 W 14th St, Unit 5B",Village Green West,Chelsea,Manhattan,"$1,470,000","$1,826",3,1,1,1,1,,805,$960,"$2,221","$1,261",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"100 Bank St, Unit 5A",100 Bank St,West Village,Manhattan,"$940,000",,3,1,1,1,1,,,"$1,327","$1,327",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"133 W 17th St, Unit 3B",133 W 17th St,Chelsea,Manhattan,"$1,649,000","$1,031",3,1,1,1,1,,"1,600","$2,723","$2,723",,Co-op/Co-Operative,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"144 W 18th St, Unit 400N",The Chainworks Building,Chelsea,Manhattan,"$2,075,000","$1,522",5,2,2,2,2,,"1,363","$1,127","$2,947","$1,820",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"41 5th Ave, Unit 8C",41 5th Ave,Greenwich Village,Manhattan,"$1,113,000",,3,1,1,1,1,,,,,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"42 W 13th St, Unit 2A",42 W 13th St,Greenwich Village,Manhattan,"$565,000","$1,130",3,1,1,1,1,,500,"$1,131","$1,131",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"55 E 9th St, Unit 5M",55 E 9th St,Greenwich Village,Manhattan,"$837,300",,3,1,1,1,1,,,"$1,684","$1,684",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"230 E 15th St, Unit 3M",The Rutherford,Gramercy,Manhattan,"$880,000",,3,1,1,1,1,,,"$1,909","$1,909",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"407 E 12th St, Unit 1FNE",407 E 12th St,East Village,Manhattan,"$1,354,300","$1,463",4,2,3,2.5,2,1,926,$830,"$1,535",$705,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"105 E 19th St, Unit 1D",105 East 19th Street,Gramercy,Manhattan,"$1,075,000",$896,5,2,2,1.5,1,1,"1,200","$1,758","$1,758",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"227 W 11th St, Unit 65S",227 W 11th St,West Village,Manhattan,"$625,000",,3,1,1,1,1,,,$833,$833,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"227 W 11th St, Unit 65",227 W 11th St,West Village,Manhattan,"$625,000",,4,1,1,1,1,,,"$1,110","$1,110",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"33 Greenwich Ave, Unit 10G",Saint Germaine,West Village,Manhattan,"$760,000",$894,3,1,1,1,1,,850,"$2,095","$2,095",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"57 Reade St, Unit 19A",Reade57,TriBeCa,Manhattan,"$2,025,000","$1,781",4,2,2,2,2,,"1,137","$1,635","$3,167","$1,532",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"411 W 21st St, Unit 1",411 West 21st Street,Chelsea,Manhattan,"$1,775,000",,5,2,2,2,2,,,"$1,996","$1,996",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"50 W 70th St, Unit GARDEN",50 W 70th St,Upper West Side,Manhattan,"$2,532,500","$1,042",6,2,3,3,3,,"2,430","$2,624","$2,624",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"130 Barrow St, Unit PH510",130 Barrow St,West Village,Manhattan,"$2,495,000","$2,079",4,2,2,2,2,,"1,200","$1,412","$2,470","$1,058",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"184 Thompson St, Unit 3U",184 Thompson St,Greenwich Village,Manhattan,"$675,000","$1,619",2,Studio,1,1,1,,417,$420,$849,$429,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"8 E 12th St, Unit 5",8 E 12th St,Greenwich Village,Manhattan,"$2,970,000","$1,275",5,2,3,2.5,2,1,"2,330","$2,000","$4,023","$2,023",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"200 Chambers St, Unit 19E",200 Chambers St,TriBeCa,Manhattan,"$1,406,000","$1,598",4,1,2,1.5,1,1,880,$963,"$2,204","$1,241",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"175 W 12th St, Unit 12CD",Century Towers,West Village,Manhattan,"$3,600,000","$1,840",7,3,3,3,3,,"1,956","$1,465","$3,462","$1,997",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"382 Central Park W, Unit 3D",The Olmsted,Upper West Side,Manhattan,"$1,596,500","$1,321",5,2,2,2,2,,"1,209",$959,"$1,557",$598,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"172 W 79th St, Unit 18A",172 W 79th St,Upper West Side,Manhattan,"$2,200,000","$1,648",5,2,2,2,2,,"1,335","$1,462","$2,761","$1,299",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"120 W 70th St, Unit 4B",120 W 70th St,Upper West Side,Manhattan,"$2,740,000","$1,451",7,4,2,2,2,,"1,888","$3,304","$3,304",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"65 Central Park W, Unit 4G",65 Central Park W,Upper West Side,Manhattan,"$1,240,000","$1,127",4,2,1,1,1,,"1,100","$1,710","$1,710",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"210 W 21st St, Unit 6F",210 W 21st St,Chelsea,Manhattan,"$1,250,000","$1,250",7,3,1,1,1,,"1,000","$1,585","$1,585",,,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"210 W 21st St, Unit 6FW",210 W 21st St,Chelsea,Manhattan,"$1,200,000","$1,333",7,3,1,1,1,,900,"$1,585","$1,585",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"399 E 8th St, Unit 7B",THREE99 On Eighth,East Village,Manhattan,"$765,000",,3,1,1,1,1,,,$378,$414,$36,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"53 Warren St, Unit 2",53 Warren St,TriBeCa,Manhattan,"$2,600,000","$1,665",5,2,2,2,2,,"1,562","$1,070","$2,554","$1,484",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
33 Charles St,33 Charles St,West Village,Manhattan,"$9,794,000","$2,622",10,4,,2.5,,,"3,736",,,,House/Building,Single Family,Townhouse/Single Family,Sold,,,,,,,,,,,,,,,,,,,,,
20 E 10th St,20 E 10th St,Greenwich Village,Manhattan,"$15,850,000","$2,264",18,6,,7,,,"7,000",,"$10,242","$10,242",House/Building,Single Family,Townhouse/Single Family,Sold,,,,,,,,,,,,,,,,,,,,,
"145 E 15th St, Unit 12JK",Gramercy Arms,Gramercy,Manhattan,"$1,020,000",,4,1,2,2,2,,,"$1,881","$1,881",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"100 W 12th St, Unit 3G",100 W 12th St,West Village,Manhattan,"$725,000",,3,1,1,1,1,,,"$1,456","$1,456",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"153 Charles St, Unit 9",153 Charles St,West Village,Manhattan,"$2,300,000","$1,643",5,2,2,2,2,,"1,400","$2,361","$2,361",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"231 10th Ave, Unit 7B",Vesta 24,Chelsea,Manhattan,"$1,687,500","$1,188",4,2,2,2,2,,"1,421","$1,602","$3,485","$1,883",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"115 E 9th St, Unit 15D",The St. Mark,Greenwich Village,Manhattan,"$845,000",,3,1,1,1,1,,,"$1,104","$1,104",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"323 W 11th St, Unit 3E",323 W 11th St,West Village,Manhattan,"$1,021,250",,3,1,1,1,1,,,"$1,253","$1,253",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"313 W 22nd St, Unit LC",313 W 22nd St,Chelsea,Manhattan,"$1,765,000","$1,642",4,2,2,2,2,,"1,075",$955,"$2,064","$1,109",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"14 Horatio St, Unit 6B",14 Horatio St,West Village,Manhattan,"$800,000",,3,1,1,1,1,,,$975,$975,,Co-op/Co-Operative,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"229 E 2nd St, Unit 6A",229 E 2nd St,East Village,Manhattan,"$1,900,000",$950,4,2,1,1,1,,"2,000","$1,105","$2,235","$1,130",Condominium/Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"121 W 19th St, Unit 8A",The Lion's Head Condominium,Chelsea,Manhattan,"$1,995,000","$1,269",4,2,2,2,2,,"1,572","$1,383","$3,768","$2,385",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
292 W 4th St,292 W 4th St,West Village,Manhattan,"$15,900,000","$3,741",11,4,,4.5,,,"4,250",,"$4,387","$4,387",House/Building,All Multi Family/Two Family/Single Family,Townhouse/Multi Family/Single Family,Sold,,,,,,,,,,,,,,,,,,,,,
336 W 12th St,336 W 12th St,West Village,Manhattan,"$12,200,000","$1,627",11,6,5,4.5,4,1,"7,500",,"$4,639","$4,639",House/Building,Single Family,Townhouse/Single Family,Sold,,,,,,,,,,,,,,,,,,,,,
"334 W 22nd St, Unit 28",334 W 22nd St,Chelsea,Manhattan,"$1,125,000",,5,3,1,1,1,,,"$1,790","$1,790",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"41 Central Park W, Unit 10F",Harperley Hall,Upper West Side,Manhattan,"$1,399,500",,5,2,1,1,1,,,"$2,857","$2,857",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"952 Columbus Ave, Unit 6B",952 Columbus Ave,Upper West Side,Manhattan,"$1,520,000","$1,162",4,2,2,2,2,,"1,308",$775,"$2,962","$2,187",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"361 W 22nd St, Unit 3",361 W 22nd St,Chelsea,Manhattan,"$1,395,000",,5,2,2,2,2,,,"$1,165","$1,165",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"259 W 21st St, Unit PH",259 W 21st St,Chelsea,Manhattan,"$1,240,000",,4,2,1,1,1,,,"$1,568","$1,568",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"105 E 19th St, Unit 3B",105 East 19th Street,Gramercy,Manhattan,"$745,000",,3,1,1,1,1,,,"$1,213","$1,213",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"88 Bleecker St, Unit 6B",Atrium,Greenwich Village,Manhattan,"$455,000",,2,Studio,1,1,1,,,"$1,073","$1,073",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"327 W 11th St, Unit 2W",327 W 11th St,West Village,Manhattan,"$1,097,768",,3,1,1,1,1,,,"$1,277","$1,277",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"105 W 73rd St, Unit 3C",105 W 73rd St,Upper West Side,Manhattan,"$1,355,000","$1,004",4,2,1,1,1,,"1,350","$2,550","$2,550",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"34 W 74th St, Unit 4C",34 W 74th St,Upper West Side,Manhattan,"$3,105,000",,6,2,2,2,2,,,"$2,343","$2,343",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"61 Jane St, Unit 14A",The Cezanne,West Village,Manhattan,"$1,225,000",,3,1,1,1,1,,,"$1,356","$1,356",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"105 E 19th St, Unit 2C",105 East 19th Street,Gramercy,Manhattan,"$733,000",,3,1,1,1,1,,,"$1,196","$1,196",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"88 Bleecker St, Unit 1B",Atrium,Greenwich Village,Manhattan,"$468,215",,2,Studio,1,1,1,,,$989,$989,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
157 W 12th St,157 W 12th St,West Village,Manhattan,"$19,500,000","$6,094",10,4,,7,,,"3,200",,"$3,632","$3,632",House/Building,Single Family,Townhouse/Single Family,Sold,,,,,,,,,,,,,,,,,,,,,
"107 W 78th St, Unit 1",107 W 78th St,Upper West Side,Manhattan,"$1,250,000","$1,136",5,2,,2,,,"1,100","$1,116","$1,116",,,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"23 E 10th St, Unit 314",The Albert,Greenwich Village,Manhattan,"$1,720,000",,,2,,2,,,,"$1,999","$1,999",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
12 Warren St,12 Warren,TriBeCa,Manhattan,"$2,650,000",$752,7,2,4,4,4,,"3,522",$1,"$5,463","$5,462",Condo,,Condo/Other,Sold,,,,,,,,,,,,,,,,,,,,,
"32 Gramercy Park S, Unit 3G",32 Gramercy Park Owners Corp,Gramercy,Manhattan,"$850,000",,4,1,1,1,1,,,"$1,686","$1,686",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"123 W 93rd St, Unit 6BC",123 W 93rd St,Upper West Side,Manhattan,"$1,690,000",,6,2,2,2,2,,,"$3,343","$3,343",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"200 Chambers St, Unit 7F",200 Chambers St,TriBeCa,Manhattan,"$1,495,000","$1,983",3,1,1,1,1,,754,$825,"$1,675",$850,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"200 Chambers St, Unit 26E",200 Chambers St,TriBeCa,Manhattan,"$2,845,000","$2,115",5,2,3,2.5,2,1,"1,345","$1,473","$3,059","$1,586",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"108 W 69th St, Unit 2/4",108 W 69th St,Upper West Side,Manhattan,"$1,922,500",,6,2,3,3.5,3,1,,"$1,900","$1,900",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"100 W 18th St, Unit 7D",100 W 18th St,Chelsea,Manhattan,"$1,950,000","$1,396",5,2,3,2.5,2,1,"1,397","$1,814","$3,861","$2,046",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"240 W 75th St, Unit 1A",240 W 75th St,Upper West Side,Manhattan,"$885,000",,4,2,1,1,1,,,"$1,328","$1,328",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"63 E 9th St, Unit 9P",The Randall House,Greenwich Village,Manhattan,"$1,235,000",,3,1,1,1,1,,,"$1,538","$1,538",,Condop,,Condop,Sold,,,,,,,,,,,,,,,,,,,,,
"25 Murray St, Unit 3H",Tribeca Space,TriBeCa,Manhattan,"$1,950,000","$1,080",5,2,2,2,2,,"1,806","$1,463","$3,392","$1,929",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"30 Park Pl, Unit 65A",30 Park Pl,TriBeCa,Manhattan,"$9,300,000","$2,514",8,4,5,5,5,,"3,700","$3,170","$11,765","$8,595",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"519 Broadway, Unit 6D",519 Broadway,SoHo,Manhattan,"$12,930,000",,9,4,5,4.5,4,1,,"$6,185","$6,185",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"148 Chambers St, Unit 4",The Campbell,TriBeCa,Manhattan,"$2,300,000","$1,454",5,2,2,2,2,,"1,582","$1,083","$2,437","$1,354",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"2 Horatio St, Unit 3R",2 Horatio St,West Village,Manhattan,"$1,325,000","$1,472",4,1,1,1,1,,900,"$1,874","$1,874",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"43 Clarkson St, Unit PH",43 Clarkson St,West Village,Manhattan,"$11,450,000","$2,082",15,5,5,5,5,,"5,500","$2,318","$6,556","$4,238",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"242 E 19th St, Unit 3D",242 E 19th St,Gramercy,Manhattan,"$1,090,000",,4,1,1,1,1,,,"$1,664","$1,664",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"229 E 2nd St, Unit 1",229 E 2nd St,East Village,Manhattan,"$2,325,000","$1,300",6,2,3,2.5,2,1,"1,788","$1,345","$2,729","$1,384",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"65 Morton St, Unit M5C",65 Morton St,West Village,Manhattan,"$1,090,000",,4,2,,1,,,,"$1,616","$1,616",,,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"344 W 12th St, Unit 5D",344 W 12th St,West Village,Manhattan,"$695,000",,3,1,1,1,1,,,$816,$816,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"115 4th Ave, Unit 6J",THE PETERSFIELD,Greenwich Village,Manhattan,"$1,995,000","$1,456",4,2,2,2,2,,"1,370","$1,705","$3,103","$1,398",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"92 Horatio St, Unit 3I",92 Horatio St,West Village,Manhattan,"$740,000","$1,233",3,1,1,1,1,,600,"$1,277","$1,277",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"61 E 11th St, Unit 10",61 E 11th St,Greenwich Village,Manhattan,"$3,800,000","$1,727",,3,,2,,,"2,200","$1,331","$1,331",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"55 W 95th St, Unit 25",55 W 95th St,Upper West Side,Manhattan,"$999,000",,5,2,2,2,2,,,"$2,476","$2,476",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"61 Irving Pl, Unit 3AB",61 Irving Pl,Gramercy,Manhattan,"$3,700,000","$1,762",6,3,3,3,3,,"2,100","$4,130","$4,130",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"210 E 15th St, Unit 2G",Parc Fifteen,Gramercy,Manhattan,"$620,000","$1,078",3,1,1,1,1,,575,"$1,124","$1,124",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"45 E 22nd St, Unit 20B",Madison Square Park Tower,Flatiron,Manhattan,"$1,924,005","$1,716",3,1,1,1,1,,"1,121","$1,366","$4,088","$2,722",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"255 W 98th St, Unit 3A",255 W 98th St,Upper West Side,Manhattan,"$1,450,000","$1,036",6,2,2,2,2,,"1,400","$1,791","$1,791",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"45 E 22nd St, Unit 15A",Madison Square Park Tower,Flatiron,Manhattan,"$2,750,000","$1,610",4,2,2,2,2,,"1,708","$1,819","$5,605","$3,786",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"167 Perry St, Unit 1P",167 Perry St,West Village,Manhattan,"$1,150,000",,3,1,1,1,1,,,"$2,388","$2,388",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"175 W 12th St, Unit 7D",Century Towers,West Village,Manhattan,"$2,350,000","$1,709",5,2,2,2,2,,"1,375","$1,063","$2,434","$1,371",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"260 Park Ave S, Unit 7I",260 Park Ave S,Flatiron,Manhattan,"$2,267,500","$1,707",5,2,3,2.5,2,1,"1,328","$1,657","$3,155","$1,498",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"300 W 108th St, Unit 14A",300 W 108th St,Upper West Side,Manhattan,"$2,100,000",,5,2,2,2,2,,,"$3,368","$3,368",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"223 W 21st St, Unit 5M",223 W 21st St,Chelsea,Manhattan,"$920,000",,4,2,1,1,1,,,"$1,335","$1,335",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"144 W 18th St, Unit PHE",The Chainworks Building,Chelsea,Manhattan,"$2,800,000","$1,397",4,2,3,2.5,2,1,"2,005","$2,116","$7,187","$5,071",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"60 E 9th St, Unit 218",The Hamilton,Greenwich Village,Manhattan,"$675,000",,4,1,1,1,1,,,"$1,666","$1,666",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"221 W 21st St, Unit 5C",221 West 21st Street,Chelsea,Manhattan,"$715,000",,3,1,1,1,1,,,"$1,300","$1,300",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"161 W 15th St, Unit 5J",161 W 15th St,Chelsea,Manhattan,"$2,382,500","$1,401",6,2,2,2,2,,"1,700","$2,697","$2,697",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"41 5th Ave, Unit PHB",41 5th Ave,Greenwich Village,Manhattan,"$1,495,000","$2,215",3,1,1,1,1,,675,"$3,464","$3,464",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"155 W 20th St, Unit 6A",The Chelsea Warren,Chelsea,Manhattan,"$935,000","$1,100",3,1,1,1,1,,850,"$1,168","$1,168",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"161 9th Ave, Unit 1B",161 9th Ave,Chelsea,Manhattan,"$1,587,500","$1,588",4,2,2,1.5,1,1,"1,000","$1,700","$1,700",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"85 Barrow St, Unit B6S",85 Barrow St,West Village,Manhattan,"$699,000",,3,1,1,1,1,,,"$1,028","$1,028",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"130 Barrow St, Unit 317",130 Barrow St,West Village,Manhattan,"$1,625,000","$2,065",3,1,1,1,1,,787,$891,"$1,687",$796,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"145 E 15th St, Unit 9E",Gramercy Arms,Gramercy,Manhattan,"$620,000","$1,033",3,1,1,1,1,,600,"$1,162","$1,162",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"201 E 17th St, Unit 17G",Park Towers,Gramercy,Manhattan,"$1,208,000","$1,272",4,2,2,2,2,,950,"$1,822","$1,822",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
307 E 10th St,307 E 10th St,East Village,Manhattan,"$8,900,000","$1,257",18,7,,5,,,"7,080",,,,House/Building,4+ Family/All Multi Family/Single Family,Townhouse/Multi Family,Sold,,,,,,,,,,,,,,,,,,,,,
"305 W 18th St, Unit 1F",305 W 18th St,Chelsea,Manhattan,"$898,000","$1,448",3,1,1,1,1,,620,$507,"$1,284",$777,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"219 E 7th St, Unit 12",219 E 7th St,East Village,Manhattan,"$490,000",,3,1,1,1,1,,,$545,$545,,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"101 W 24th St, Unit 20A",Chelsea Stratus,Chelsea,Manhattan,"$2,070,000","$1,837",4,2,2,2,2,,"1,127","$1,250","$3,464","$2,214",Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"15 W 81st St, Unit 2J",15 W 81st St,Upper West Side,Manhattan,"$1,525,000",,5,2,2,2,2,,,"$2,571","$2,571",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"274 W 12th St, Unit PH",274 W 12th St,West Village,Manhattan,"$1,999,900","$1,818",4,2,2,2,2,,"1,100",$716,"$1,496",$780,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
"41 W 82nd St, Unit 7A",41 W 82nd St,Upper West Side,Manhattan,"$1,920,000",,6,3,2,2,2,,,"$3,040","$3,040",,Co-op,,Co-op,Sold,,,,,,,,,,,,,,,,,,,,,
"44 E 12th St, Unit 8C",Parc Village Condominium,Greenwich Village,Manhattan,"$813,000","$1,478",3,1,1,1,1,,550,$618,"$1,580",$962,Condo,,Condo,Sold,,,,,,,,,,,,,,,,,,,,,
