Address,Building Name,Neighborhood,City,Price (Last Known),PPSF,R,Bd,Total Ba,MLS Ba,Full Ba,HBa,Sq Ft,Monthly Fees,Monthly Fees & Taxes,Taxes Per Mo.,MLS Property Type,MLS Property Subtype,Compass Property Type,Status,DOM,Updated Date,Listed Date,Listed Price,Last Asking,Contract Date,Sold Price,Closed Price Verification,Sold Date,Open House,Open House Type,ZIP,Building Size,Lot Size,Outdoor Space,Year Built,Service Level,Building Units,Notes,,
39 Charlton St,39 Charlton St,Hudson Square,Manhattan,"$7,400,000","$1,670",10,7,5,4.5,4,1,"4,432",,"$2,732","$2,733",House/Building,Undefined Multi Family|All Multi Family/All Multi Family/Two Family,Townhouse/Multi Family,Sold,361,01/06/2020,09/20/2018,"$10,750,000","$7,995,000",10/22/2019,"$7,400,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020010900688002"" target=""_blank"">Verified by Public Record</a>",01/06/2020,,,10014,25' x 40',"2,510 SF / 25' x 100.42'","Private Terrace
Private Yard
Patio
Deck",1827,,1,,,
"160 W 95th St, Unit 8D",160 W 95th St,Upper West Side,Manhattan,"$1,610,000",,5,3,2,2,2,,,"$2,170","$2,170",,Co-op,,Co-op,Sold,189,01/30/2020,04/26/2019,"$1,750,000","$1,695,000",11/01/2019,"$1,610,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020020401040001"" target=""_blank"">Verified by Public Record</a>",01/30/2020,,,10025,,,,1914,,37,,,
"165 Christopher St, Unit 1Z",165 Christopher St,West Village,Manhattan,"$825,100","$1,100",4,1,1,1,1,,750,"$1,039","$1,039",,Co-op,,Co-op,Sold,25,01/10/2020,09/12/2019,"$799,000","$799,000",10/07/2019,"$825,100","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020012200864001"" target=""_blank"">Verified by Public Record</a>",01/10/2020,,,10014,,,Common Outdoor Space,1964,Part-Time Doorman,214,,,
"165 W 91st St, Unit 12C",Mirabeau,Upper West Side,Manhattan,"$4,200,000","$1,936",7,4,3,3,3,,"2,169","$2,201","$3,269","$1,068",,,Condo,Sold,201,02/06/2020,05/15/2019,"$4,200,000","$4,200,000",12/02/2019,"$4,200,000",Unverified,02/06/2020,,,10024,,,Common Roof Deck,1926,Full-Time Doorman,96,,,
"160 W 95th St, Unit 3B",160 W 95th St,Upper West Side,Manhattan,"$1,700,000",,6,3,2,2,2,,,"$2,307","$2,307",,Co-op,,Co-op,Sold,15,02/04/2020,06/12/2019,"$1,735,000","$1,735,000",07/15/2019,"$1,700,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020022000498001"" target=""_blank"">Verified by Public Record</a>",02/03/2020,,,10025,,,,1914,,37,,,
"570 Broome St, Unit 23A",570 Broome,SoHo,Manhattan,"$3,225,000","$2,584",4,2,3,2.5,2,1,"1,248","$1,327","$3,369","$2,042",Condo,,Condo,Sold,4,01/14/2020,09/19/2019,"$3,505,000","$3,505,000",09/24/2019,"$3,225,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020012101311001"" target=""_blank"">Verified by Public Record</a>",01/14/2020,,,10013,,,Common Garden,2019,Full-Time Doorman,54,,,
"102 E 22nd St, Unit 1EF",102 E 22nd St,Gramercy,Manhattan,"$1,430,000",,5,2,2,2,2,,,"$2,157","$2,157",,Co-op,,Co-op,Sold,57,02/03/2020,09/05/2019,"$1,450,000","$1,450,000",11/01/2019,"$1,430,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020020300401001"" target=""_blank"">Verified by Public Record</a>",02/03/2020,,,10010,,,,1928,,92,,,
"130 E 18th St, Unit 9T",Gramercy Plaza,Gramercy,Manhattan,"$1,725,000",,5,2,2,,2,,,"$2,257","$2,257",,Co-op,,Co-op,Sold,16,02/15/2020,11/08/2019,"$1,750,000","$1,750,000",11/24/2019,"$1,725,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020021201251001"" target=""_blank"">Verified by Public Record</a>",02/11/2020,,,10003,,,"Balcony
Roof Deck
Common Roof Deck
Common Garden",1962,"Doorman, Full-Time Doorman",287,,,
"225 E 74th St, Unit 4G",225 E 74th St,Upper East Side,Manhattan,"$875,000",$871,4,2,1,1,1,,"1,005","$2,289","$2,289",,,,Co-op,Sold,74,07/21/2020,11/13/2019,"$875,000","$875,000",,"$875,000",Unverified,01/27/2020,,,10021,,,,1938,Full-Time Doorman,84,,,
"708 Greenwich St, Unit 5CD",708 Greenwich St,West Village,Manhattan,"$3,490,000",,6,2,3,3,3,,,"$4,539","$4,539",,,,Co-op,Sold,77,01/29/2020,07/22/2019,"$3,690,000","$3,630,000",10/08/2019,"$3,490,000",Unverified,01/07/2020,,,10014,,,Common Roof Deck,1910,,33,,,
273 Church St,273 Church St,TriBeCa,Manhattan,"$10,500,000","$1,346",8,2,7,4.5,2,5,"7,800",,"$8,081","$8,081",Mixed Use,Three Family/All Multi Family/Two Family/Single Family,Townhouse/Mixed Use/Multi Family,Sold,119,01/16/2020,09/16/2019,"$11,500,000","$11,500,000",01/13/2020,"$10,500,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020012901013001"" target=""_blank"">Verified by Public Record</a>",01/16/2020,,,10013,25' x 68',"1,887 SF / 25.17' x 75'","Private Terrace
Private Patio
Private Roof Deck",1910,,6,,,
"22 Mercer St, Unit 2D",22 Mercer St,SoHo,Manhattan,"$3,650,000","$1,526",5,2,3,2.5,2,1,"2,392","$2,522","$5,332","$2,810",Condo,,Condo,Sold,263,01/08/2020,04/05/2019,"$4,375,000","$3,995,000",11/14/2019,"$3,650,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020012200480003"" target=""_blank"">Verified by Public Record</a>",01/07/2020,,,10013,,,"Roof Deck
Common Roof Deck
Common Outdoor Space",1910,"Doorman, Full-Time Doorman",16,,,
"157 W 79th St, Unit 5CD",157 W 79th St,Upper West Side,Manhattan,"$2,230,000",,6,3,2,2,2,,,"$3,278","$3,278",,Co-op,,Co-op,Sold,57,01/22/2020,09/05/2019,"$2,450,000","$2,295,000",11/01/2019,"$2,230,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020013100655001"" target=""_blank"">Verified by Public Record</a>",01/16/2020,,,10024,,,,1911,Part-Time Doorman,60,,,
"33 5th Ave, Unit 7C",33 5th Ave,Greenwich Village,Manhattan,"$1,695,000",,5,2,2,1.5,1,1,,"$2,676","$2,676",,Co-op,,Co-op,Sold,55,02/17/2020,09/17/2019,"$1,750,000","$1,695,000",11/12/2019,"$1,695,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020022400132001"" target=""_blank"">Verified by Public Record</a>",02/10/2020,,,10003,,,,1924,Full-Time Doorman,60,,,
"44 Gramercy Park N, Unit 2F",Gramercy Owners td,Gramercy,Manhattan,"$690,000",,3,1,1,1,1,,,"$1,163","$1,163",,Co-op,,Co-op,Sold,319,02/03/2020,10/01/2018,"$775,000","$700,000",10/03/2019,"$690,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020021000431001"" target=""_blank"">Verified by Public Record</a>",01/31/2020,,,10010,,,Common Roof Deck,1930,Full-Time Doorman,79,,,
"304 W 89th St, Unit 9C",304 W 89th St,Upper West Side,Manhattan,"$685,000",,3,1,1,1,1,,,"$1,774","$1,774",,Co-op,,Co-op,Sold,56,02/14/2020,08/29/2019,"$699,000","$699,000",10/24/2019,"$685,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020021800839001"" target=""_blank"">Verified by Public Record</a>",02/12/2020,,,10024,,,,1923,,36,,,
"31 1/2 Greene St, Unit 3N",31 1/2 Greene St,SoHo,Manhattan,"$7,995,000","$1,881",4,3,3,3,3,,"4,250","$6,800","$6,800",,Co-op,,Co-op,Sold,194,02/14/2020,09/19/2018,"$8,500,000","$7,995,000",09/24/2019,"$7,995,000",Unverified,02/12/2020,,,10013,,,,,,,,,
"252 E 7th St, Unit 2",252 E 7th St,East Village,Manhattan,"$390,000",,3,1,1,1,1,,,$633,$633,,Co-op,,Co-op,Sold,37,01/23/2020,08/30/2019,"$399,000","$399,000",10/07/2019,"$390,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020020500497001"" target=""_blank"">Verified by Public Record</a>",01/22/2020,,,10009,,,,1920,,2,,,
"254 W 82nd St, Unit 3A",254 W 82nd St,Upper West Side,Manhattan,"$1,865,000",,4,2,2,2,2,,,"$1,668","$1,668",,Co-op,,Co-op,Sold,35,01/25/2020,09/03/2019,"$1,850,000","$1,850,000",10/08/2019,"$1,865,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020012701086001"" target=""_blank"">Verified by Public Record</a>",01/22/2020,,,10024,,,Common Roof Deck,1910,"Doorman, Part-Time Doorman",36,,,
"201 E 21st St, Unit 2C",Quaker Ridge,Gramercy,Manhattan,"$930,000",,4,2,1,1,1,,,"$1,207","$1,207",,Co-op,,Co-op,Sold,47,11/12/2019,09/26/2019,"$959,000","$959,000",11/12/2019,"$930,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020020400945001"" target=""_blank"">Verified by Public Record</a>",02/05/2020,,,10010,,,,1962,"Doorman, Full-Time Doorman, Concierge",264,,,
"61 Jane St, Unit 11J",The Cezanne,West Village,Manhattan,"$2,860,000",,4,2,2,2,2,,,"$2,331","$2,331",,Co-op,,Co-op,Sold,,12/23/2019,,,"$2,895,000",12/23/2019,"$2,860,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020020301201001"" target=""_blank"">Verified by Public Record</a>",01/31/2020,,,10014,,,Common Roof Deck,1963,Full-Time Doorman,261,,,
"93 MacDougal St, Unit 8",93 Macdougal St,Greenwich Village,Manhattan,"$995,000",,4,2,1,1,1,,,"$1,185","$1,185",,Co-op,,Co-op,Sold,69,09/26/2019,07/19/2019,"$995,000","$995,000",09/26/2019,"$995,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020011300839001"" target=""_blank"">Verified by Public Record</a>",01/03/2020,,,10012,,,,1900,,40,,,
"345 W 70th St, Unit 1F",345 W 70th St,Upper West Side,Manhattan,"$995,000",,5,2,1,1,1,,,"$1,771","$1,771",,Co-op,,Co-op,Sold,77,01/15/2020,08/14/2019,"$1,195,000","$995,000",10/30/2019,"$995,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020011700273001"" target=""_blank"">Verified by Public Record</a>",01/15/2020,,,10023,,,"Private Patio
Deck",1910,,36,,,
"32 W 96th St, Unit 1A",32 W 96th St,Upper West Side,Manhattan,"$445,000",,1,Studio,1,1,1,,,"$1,016","$1,016",,Co-op,,Co-op,Sold,53,03/09/2020,09/11/2019,"$459,000","$459,000",11/04/2019,"$445,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020050600425001"" target=""_blank"">Verified by Public Record</a>",01/29/2020,,,10025,,,,1892,,9,,,
"570 Broome St, Unit 5C",570 Broome,SoHo,Manhattan,"$2,135,000","$1,790",4,2,2,2,2,,"1,193","$1,273","$3,233","$1,960",Condo,,Condo,Sold,6,01/17/2020,08/20/2019,"$2,195,000","$2,195,000",08/26/2019,"$2,135,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020012401017001"" target=""_blank"">Verified by Public Record</a>",01/16/2020,,,10013,,,"Common Garden
Common Outdoor Space",2019,Full-Time Doorman,54,,,
"392 Central Park W, Unit 4B",CPW Towers,Upper West Side,Manhattan,"$990,000","$1,165",4,1,1,1,1,,850,$551,$960,$409,Condo,,Condo,Sold,57,11/22/2019,09/26/2019,"$995,000","$995,000",11/22/2019,"$990,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020010901085003"" target=""_blank"">Verified by Public Record</a>",01/03/2020,,,10025,,,"Balcony
Common Garden
Common Outdoor Space",1960,"Doorman, Full-Time Doorman, Concierge",413,,,
"180 W 93rd St, Unit 2D",180 W 93rd St,Upper West Side,Manhattan,"$455,000",$827,2,Studio,1,1,1,,550,"$1,105","$1,105",,Co-op,,Co-op,Sold,132,02/13/2020,07/11/2019,"$549,000","$449,000",11/20/2019,"$455,000","<a href=""http://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020021401049001"" target=""_blank"">Verified by Public Record</a>",02/07/2020,,,10025,,,,1940,Part-Time Doorman,48,,,
